Timestamp, COUNTER, INTERPOLATED, AF3, T7, Pz, T8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1632641556.6751, 22, 0, 4237.949, 4220, 4220.513, 4223.59, 4246.154, 0, 0, []
1632641556.683, 23, 0, 4213.846, 4210.256, 4154.872, 4200.513, 4210.256, 0, 0, []
1632641556.691, 24, 0, 4181.026, 4043.077, 4165.641, 4189.744, 4177.949, 0, 0, []
1632641556.6989, 25, 0, 4180.513, 4069.231, 4144.103, 4206.154, 4180.513, 0, 0, []
1632641556.7068, 26, 0, 4196.41, 4225.641, 4110.769, 4224.615, 4181.538, 0, 0, []
1632641556.7147, 27, 0, 4207.692, 4281.026, 4185.128, 4240.513, 4172.821, 0, 0, []
1632641556.7227, 28, 0, 4208.718, 4362.564, 4123.59, 4235.385, 4171.282, 0, 0, []
1632641556.7306, 29, 0, 4217.436, 4496.923, 4142.051, 4238.462, 4185.641, 0, 0, []
1632641556.7384, 30, 0, 4230.769, 4435.897, 4167.692, 4248.205, 4207.179, 0, 0, []
1632641556.7462, 31, 0, 4210.769, 4353.846, 4140.513, 4231.795, 4206.667, 0, 0, []
1632641556.754, 32, 0, 4181.538, 4467.692, 4204.103, 4212.308, 4188.205, 0, 0, []
1632641556.7619, 33, 0, 4200.513, 4476.41, 4164.615, 4205.128, 4186.154, 0, 0, []
1632641556.7697, 34, 0, 4231.795, 4376.41, 4190.769, 4217.949, 4191.795, 0, 0, []
1632641556.7776, 35, 0, 4231.282, 4440.513, 4193.333, 4234.872, 4188.205, 0, 0, []
1632641556.7853, 36, 0, 4228.718, 4525.641, 4121.026, 4244.615, 4204.615, 0, 0, []
1632641556.7932, 37, 0, 4234.359, 4489.744, 4182.051, 4255.385, 4232.308, 0, 0, []
1632641556.801, 38, 0, 4227.179, 4449.231, 4148.205, 4245.128, 4225.641, 0, 0, []
1632641556.8089, 39, 0, 4218.974, 4496.41, 4152.821, 4229.744, 4204.615, 0, 0, []
1632641556.8167, 40, 0, 4213.846, 4548.718, 4174.872, 4219.487, 4193.333, 0, 0, []
1632641556.8246, 41, 0, 4191.795, 4413.333, 4103.59, 4204.103, 4161.026, 0, 0, []
1632641556.8325, 42, 0, 4181.026, 4283.59, 4151.282, 4208.718, 4134.872, 0, 0, []
1632641556.8405, 43, 0, 4201.026, 4460, 4132.821, 4227.179, 4163.59, 0, 0, []
1632641556.8484, 44, 0, 4227.179, 4597.436, 4150.769, 4259.487, 4222.564, 0, 0, []
1632641556.8564, 45, 0, 4240.513, 4484.615, 4203.077, 4279.487, 4257.436, 0, 0, []
1632641556.8642, 46, 0, 4253.846, 4482.051, 4156.923, 4253.846, 4260, 0, 0, []
1632641556.8722, 47, 0, 4297.949, 4588.205, 4209.231, 4245.641, 4270.256, 0, 0, []
1632641556.8801, 48, 0, 4348.205, 4581.026, 4163.59, 4256.41, 4306.667, 0, 0, []
1632641556.8881, 49, 0, 4366.154, 4557.949, 4143.59, 4241.538, 4343.59, 0, 0, []
1632641556.896, 50, 0, 4384.615, 4627.179, 4201.538, 4221.026, 4351.795, 0, 0, []
1632641556.9039, 51, 0, 4430.256, 4665.128, 4146.154, 4233.846, 4362.564, 0, 0, []
1632641556.9118, 52, 0, 4479.487, 4617.436, 4219.487, 4281.538, 4412.821, 0, 0, []
1632641556.9196, 53, 0, 4520.513, 4584.615, 4245.128, 4315.385, 4462.564, 0, 0, []
1632641556.9275, 54, 0, 4566.154, 4591.282, 4246.667, 4343.59, 4488.205, 0, 0, []
1632641556.9353, 55, 0, 4608.205, 4618.974, 4322.051, 4391.795, 4514.872, 0, 0, []
1632641556.9431, 56, 0, 4625.641, 4666.667, 4277.436, 4425.641, 4534.872, 0, 0, []
1632641556.9509, 57, 0, 4613.846, 4721.026, 4313.846, 4431.795, 4514.872, 0, 0, []
1632641556.9588, 58, 0, 4597.436, 4742.564, 4305.641, 4418.974, 4474.872, 0, 0, []
1632641556.9666, 59, 0, 4588.718, 4744.103, 4272.308, 4425.128, 4461.026, 0, 0, []
1632641556.9745, 60, 0, 4573.846, 4733.846, 4331.795, 4447.179, 4453.846, 0, 0, []
1632641556.9823, 61, 0, 4554.872, 4767.692, 4271.282, 4447.179, 4431.282, 0, 0, []
1632641556.9902, 62, 0, 4538.462, 4812.308, 4300.513, 4446.154, 4414.872, 0, 0, []
1632641556.9981, 63, 0, 4530.769, 4709.744, 4312.821, 4443.077, 4416.41, 0, 0, []
1632641557.0061, 64, 0, 4535.897, 4574.872, 4288.718, 4443.59, 4414.359, 450, 0, []
1632641557.014, 65, 0, 4525.128, 4541.026, 4336.41, 4449.744, 4380.513, 450, 0, []
1632641557.022, 66, 0, 4481.026, 4505.128, 4267.692, 4425.641, 4335.385, 16159, 0, []
1632641557.0298, 67, 0, 4462.564, 4468.205, 4321.538, 4415.385, 4321.538, 450, 0, []
1632641557.0378, 68, 0, 4480, 4521.538, 4327.179, 4437.436, 4340.513, 16071, 0, []
1632641557.0457, 69, 0, 4493.333, 4531.282, 4268.205, 4461.026, 4364.103, 450, 0, []
1632641557.0536, 70, 0, 4503.59, 4429.231, 4365.641, 4481.026, 4382.564, 208, 0, []
1632641557.0615, 71, 0, 4508.205, 4468.205, 4298.974, 4472.308, 4395.385, 450, 0, []
1632641557.0692, 72, 0, 4501.026, 4669.744, 4290.769, 4471.282, 4396.923, 450, 0, []
1632641557.0771, 73, 0, 4518.462, 4728.718, 4353.333, 4503.59, 4423.077, 16096, 0, []
1632641557.0849, 74, 0, 4545.641, 4626.154, 4318.462, 4523.077, 4454.872, 450, 0, []
1632641557.0928, 75, 0, 4537.436, 4635.385, 4364.103, 4523.59, 4450.769, 16203, 0, []
1632641557.1006, 76, 0, 4535.897, 4758.974, 4324.615, 4535.897, 4461.026, 450, 0, []
1632641557.1084, 77, 0, 4562.051, 4742.564, 4342.051, 4573.333, 4500.513, 450, 0, []
1632641557.1162, 78, 0, 4572.821, 4660, 4387.692, 4583.077, 4507.179, 450, 0, []
1632641557.1241, 79, 0, 4573.846, 4702.051, 4328.205, 4570.256, 4500.513, 16203, 0, []
1632641557.1319, 80, 0, 4586.667, 4736.41, 4402.564, 4594.359, 4520, 450, 0, []
1632641557.1399, 81, 0, 4601.538, 4623.077, 4396.41, 4610.256, 4540.513, 450, 0, []
1632641557.1477, 82, 0, 4607.179, 4493.846, 4373.333, 4597.436, 4547.179, 450, 0, []
1632641557.1557, 83, 0, 4602.051, 4553.333, 4402.564, 4584.615, 4538.974, 16203, 0, []
