Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1630163166.1053, 30.565, 3.229, 3.06, 2.724, 1.618, 10.814, 1.452, 4.199, 3.259, 3.323, 2.459, 1.022, 1.355, 2.301, 1.114, 6.065, 1.578, 4.161, 3.13, 1.664, 20.76, 1.821, 5.017, 3.429, 2.314
1630163166.2316, 22.7, 2.796, 2.428, 2.82, 1.669, 12.887, 1.405, 3.607, 3.359, 3.159, 2.654, 1.289, 1.111, 1.978, 1.025, 6.912, 1.981, 3.838, 2.821, 1.502, 14.331, 1.511, 4.244, 3.643, 2.189
1630163166.3579, 18.675, 3.227, 1.934, 2.843, 1.81, 14.021, 1.473, 2.968, 3.352, 3.117, 2.642, 1.846, 0.976, 1.635, 1.006, 7.265, 2.623, 3.394, 2.441, 1.433, 12.009, 2.241, 3.434, 3.657, 2.142
1630163166.4841, 16.298, 4.276, 1.741, 2.811, 2.023, 13.696, 1.699, 2.378, 3.162, 3.208, 2.408, 2.664, 1.003, 1.33, 1.044, 7.125, 3.503, 2.896, 2.043, 1.425, 11.078, 3.836, 2.845, 3.518, 2.172
1630163166.6104, 13.971, 5.623, 2.018, 2.758, 2.253, 12.546, 2.053, 1.99, 2.811, 3.378, 2.047, 3.596, 1.219, 1.113, 1.106, 6.755, 4.513, 2.472, 1.685, 1.438, 9.826, 5.953, 2.807, 3.345, 2.247
1630163166.7367, 11.537, 6.99, 2.8, 2.708, 2.432, 10.306, 2.415, 1.972, 2.412, 3.551, 1.657, 4.422, 1.597, 1.015, 1.162, 6.383, 5.452, 2.313, 1.415, 1.444, 8.006, 8.167, 3.502, 3.255, 2.318
1630163166.8628, 9.776, 8.036, 3.977, 2.636, 2.5, 8.208, 2.632, 2.444, 2.078, 3.651, 1.343, 4.943, 2.088, 1.018, 1.189, 6.136, 6.119, 2.58, 1.239, 1.44, 6.514, 9.938, 4.873, 3.259, 2.335
1630163166.9889, 8.773, 8.477, 5.278, 2.485, 2.44, 6.111, 2.663, 3.349, 1.874, 3.63, 1.137, 5.045, 2.605, 1.056, 1.19, 5.879, 6.344, 3.272, 1.121, 1.448, 5.516, 10.809, 6.6, 3.261, 2.276
1630163167.1151, 7.994, 8.19, 6.376, 2.206, 2.281, 4.687, 2.557, 4.439, 1.786, 3.481, 1.011, 4.749, 3.052, 1.062, 1.19, 5.419, 6.065, 4.205, 1.019, 1.497, 4.892, 10.571, 8.225, 3.12, 2.159
1630163167.2413, 7.121, 7.274, 6.982, 1.8, 2.1, 3.591, 2.425, 5.364, 1.751, 3.237, 0.915, 4.183, 3.336, 0.998, 1.222, 4.672, 5.376, 5.066, 0.903, 1.6, 4.417, 9.356, 9.3, 2.743, 2.044
1630163167.3673, 6.061, 6.006, 6.971, 1.347, 1.984, 2.925, 2.347, 5.809, 1.704, 2.951, 0.83, 3.503, 3.395, 0.884, 1.305, 3.735, 4.486, 5.559, 0.772, 1.751, 3.985, 7.572, 9.551, 2.189, 2.004
1630163167.4932, 5.021, 4.754, 6.433, 0.978, 1.992, 2.394, 2.353, 5.629, 1.631, 2.684, 0.78, 2.849, 3.249, 0.784, 1.431, 2.835, 3.637, 5.562, 0.66, 1.92, 3.572, 5.752, 8.979, 1.645, 2.082
1630163167.6193, 4.276, 3.827, 5.653, 0.805, 2.119, 2.07, 2.417, 4.926, 1.565, 2.494, 0.829, 2.32, 2.989, 0.757, 1.564, 2.139, 3.014, 5.178, 0.614, 2.071, 3.252, 4.341, 7.851, 1.303, 2.261
1630163167.7454, 4.411, 3.42, 4.98, 0.853, 2.311, 2.082, 2.509, 4.012, 1.557, 2.433, 1.021, 1.976, 2.73, 0.82, 1.66, 1.677, 2.7, 4.666, 0.672, 2.172, 3.426, 3.568, 6.563, 1.248, 2.474
1630163167.8717, 5.496, 3.737, 4.622, 1.052, 2.495, 2.264, 2.65, 3.292, 1.62, 2.525, 1.317, 1.83, 2.552, 0.939, 1.684, 1.429, 2.642, 4.257, 0.847, 2.202, 4.243, 3.543, 5.435, 1.418, 2.64
1630163167.9979, 8.746, 4.88, 4.586, 1.305, 2.619, 2.719, 2.956, 3.086, 1.718, 2.756, 1.671, 1.9, 2.495, 1.074, 1.629, 1.311, 2.772, 4.104, 1.155, 2.155, 6.69, 4.252, 4.643, 1.685, 2.722
1630163168.1238, 13.899, 6.804, 4.88, 1.545, 2.655, 3.298, 3.621, 3.468, 1.808, 3.064, 1.986, 2.202, 2.615, 1.208, 1.516, 1.329, 3.091, 4.392, 1.618, 2.04, 10.563, 5.638, 4.41, 1.948, 2.733
