Timestamp, COUNTER, INTERPOLATED, AF3, T7, Pz, T8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1629740138.2815, 106, 0, 4201.538, 4270.769, 4091.795, 4134.872, 4235.897, 450, 0, []
1629740138.2895, 107, 0, 4197.949, 4262.564, 4083.077, 4124.615, 4226.154, 16205, 0, []
1629740138.2974, 108, 0, 4199.487, 4280, 4116.41, 4122.564, 4223.59, 450, 0, []
1629740138.3054, 109, 0, 4195.897, 4286.154, 4104.615, 4128.205, 4224.615, 450, 0, []
1629740138.3133, 110, 0, 4196.923, 4271.795, 4101.026, 4140, 4227.692, 450, 0, []
1629740138.3212, 111, 0, 4194.359, 4258.974, 4102.564, 4139.487, 4223.077, 16205, 0, []
1629740138.3291, 112, 0, 4190.769, 4266.667, 4094.359, 4134.872, 4220.513, 450, 0, []
1629740138.3371, 113, 0, 4210.256, 4289.231, 4114.359, 4146.667, 4232.308, 450, 0, []
1629740138.345, 114, 0, 4224.615, 4289.744, 4105.641, 4156.923, 4241.026, 450, 0, []
1629740138.3529, 115, 0, 4203.077, 4274.359, 4105.641, 4147.692, 4230.256, 16205, 0, []
1629740138.3607, 116, 0, 4181.538, 4264.615, 4104.103, 4125.641, 4209.231, 450, 0, []
1629740138.3685, 117, 0, 4191.795, 4258.462, 4095.897, 4121.026, 4200.513, 450, 0, []
1629740138.3764, 118, 0, 4208.718, 4268.205, 4115.897, 4134.359, 4215.897, 450, 0, []
1629740138.3842, 119, 0, 4210.769, 4282.051, 4108.718, 4136.41, 4237.436, 16205, 0, []
1629740138.3921, 120, 0, 4195.385, 4276.923, 4109.231, 4124.615, 4228.718, 450, 0, []
1629740138.3998, 121, 0, 4173.846, 4267.692, 4103.59, 4112.308, 4196.923, 450, 0, []
1629740138.4077, 122, 0, 4189.744, 4275.385, 4092.821, 4122.564, 4204.615, 450, 0, []
1629740138.4155, 123, 0, 4240, 4276.923, 4139.487, 4157.949, 4258.974, 16205, 0, []
1629740138.4234, 124, 0, 4247.179, 4268.205, 4142.051, 4168.718, 4276.41, 450, 0, []
1629740138.4312, 125, 0, 4214.872, 4272.821, 4116.923, 4146.154, 4243.59, 450, 0, []
1629740138.4391, 126, 0, 4210.256, 4270.256, 4109.231, 4134.359, 4222.051, 450, 0, []
1629740138.447, 127, 0, 4211.795, 4248.205, 4094.359, 4134.359, 4221.538, 16205, 0, []
1629740138.455, 128, 0, 4196.923, 4261.026, 4122.564, 4136.41, 4230.256, 450, 0, []
1629740138.4629, 0, 0, 4209.744, 4301.026, 4137.949, 4153.846, 4243.59, 450, 0, []
1629740138.4709, 1, 0, 4233.333, 4277.436, 4126.667, 4158.462, 4237.949, 450, 0, []
1629740138.4787, 2, 0, 4226.154, 4236.41, 4125.641, 4136.41, 4226.667, 16190, 0, []
1629740138.4867, 3, 0, 4222.051, 4254.359, 4120, 4136.41, 4239.487, 450, 0, []
1629740138.4946, 4, 0, 4244.103, 4281.026, 4133.846, 4159.487, 4256.41, 16111, 0, []
1629740138.5026, 5, 0, 4247.692, 4278.974, 4116.923, 4145.128, 4245.641, 450, 0, []
1629740138.5105, 6, 0, 4211.795, 4259.487, 4099.487, 4098.974, 4216.923, 16098, 0, []
1629740138.5183, 7, 0, 4196.41, 4246.667, 4121.026, 4097.436, 4212.821, 450, 0, []
1629740138.5261, 8, 0, 4200, 4243.077, 4111.282, 4124.615, 4216.41, 450, 0, []
1629740138.5339, 9, 0, 4185.128, 4235.897, 4106.154, 4125.641, 4199.487, 16174, 0, []
1629740138.5418, 10, 0, 4187.179, 4246.667, 4102.051, 4123.59, 4203.077, 450, 0, []
1629740138.5496, 11, 0, 4204.615, 4262.564, 4104.103, 4126.667, 4223.077, 16205, 0, []
1629740138.5575, 12, 0, 4203.59, 4238.462, 4114.359, 4104.615, 4218.974, 450, 0, []
1629740138.5652, 13, 0, 4201.538, 4228.205, 4096.923, 4080, 4211.795, 450, 0, []
1629740138.5731, 14, 0, 4200, 4248.205, 4112.821, 4084.103, 4210.256, 450, 0, []
1629740138.5809, 15, 0, 4182.051, 4227.179, 4117.949, 4102.564, 4190.256, 16205, 0, []
1629740138.5888, 16, 0, 4185.128, 4214.359, 4116.923, 4132.308, 4185.128, 0, 0, []
1629740138.5966, 17, 0, 4201.538, 4233.333, 4143.59, 4156.923, 4207.179, 0, 0, []
1629740138.6044, 18, 0, 4198.974, 4220, 4122.051, 4155.897, 4216.923, 0, 0, []
1629740138.6122, 19, 0, 4205.128, 4214.872, 4117.436, 4145.128, 4217.949, 0, 0, []
1629740138.6202, 20, 0, 4221.026, 4261.026, 4126.667, 4125.641, 4225.128, 0, 0, []
1629740138.6281, 21, 0, 4213.333, 4254.872, 4112.308, 4096.41, 4226.667, 0, 0, []
1629740138.6361, 22, 0, 4180.513, 4196.41, 4105.128, 4077.436, 4197.436, 0, 0, []
1629740138.6439, 23, 0, 4164.103, 4195.897, 4073.333, 4079.487, 4166.154, 0, 0, []
1629740138.6519, 24, 0, 4171.795, 4213.333, 4081.026, 4100, 4170.769, 0, 0, []
1629740138.6598, 25, 0, 4190.256, 4210.256, 4113.333, 4134.359, 4197.949, 0, 0, []
1629740138.6678, 26, 0, 4225.128, 4230.256, 4108.718, 4166.154, 4231.282, 0, 0, []
1629740138.6757, 27, 0, 4255.897, 4229.231, 4116.923, 4170.256, 4254.359, 0, 0, []
1629740138.6834, 28, 0, 4260, 4183.077, 4108.718, 4146.667, 4261.538, 0, 0, []
1629740138.6913, 29, 0, 4271.282, 4178.974, 4107.179, 4125.641, 4280.513, 0, 0, []
1629740138.6991, 30, 0, 4326.667, 4202.051, 4113.846, 4127.179, 4336.41, 0, 0, []
