Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1627749347.8736, 3.63, 1.406, 0.676, 0.364, 0.281, 5.847, 1.771, 0.817, 0.453, 0.249, 4.924, 3.246, 1.42, 0.633, 0.348, 4.565, 1.968, 1.664, 0.557, 0.351, 5.431, 2.064, 0.657, 0.599, 0.241
1627749347.9999, 5.997, 1.496, 0.745, 0.335, 0.31, 5.152, 1.399, 0.843, 0.472, 0.257, 4.869, 2.476, 1.438, 0.506, 0.35, 4.346, 1.91, 1.479, 0.58, 0.341, 7.411, 2.035, 0.606, 0.477, 0.251
1627749348.1259, 14.536, 2.125, 0.807, 0.366, 0.338, 5.067, 1.106, 0.83, 0.518, 0.26, 5.706, 1.878, 1.519, 0.446, 0.348, 4.799, 1.736, 1.231, 0.642, 0.341, 16.713, 2.584, 0.613, 0.445, 0.276
1627749348.2521, 32.043, 3.546, 0.858, 0.43, 0.367, 5.982, 0.956, 0.781, 0.576, 0.261, 7.317, 1.543, 1.72, 0.497, 0.351, 5.927, 1.497, 0.992, 0.732, 0.352, 35.939, 3.942, 0.697, 0.517, 0.317
1627749348.3783, 57.563, 5.681, 0.899, 0.509, 0.403, 7.463, 0.935, 0.712, 0.63, 0.269, 9.128, 1.474, 2.044, 0.663, 0.371, 7.186, 1.251, 0.864, 0.848, 0.376, 65.028, 5.937, 0.872, 0.687, 0.372
1627749348.5043, 86.594, 8.057, 0.958, 0.603, 0.449, 8.957, 0.991, 0.645, 0.673, 0.291, 10.496, 1.597, 2.41, 0.906, 0.41, 8.004, 1.056, 0.97, 1.015, 0.408, 98.17, 8.048, 1.158, 0.94, 0.442
1627749348.63, 111.511, 9.965, 1.073, 0.717, 0.505, 9.904, 1.107, 0.596, 0.715, 0.327, 11.15, 1.862, 2.685, 1.153, 0.463, 8.141, 0.979, 1.379, 1.262, 0.441, 126.86, 9.573, 1.544, 1.243, 0.52
1627749348.756, 124.487, 10.809, 1.255, 0.85, 0.569, 10.009, 1.297, 0.591, 0.781, 0.376, 11.072, 2.179, 2.751, 1.335, 0.522, 7.752, 1.031, 2.036, 1.588, 0.471, 142.094, 10.022, 1.969, 1.547, 0.597
1627749348.8821, 120.768, 10.366, 1.514, 0.998, 0.634, 9.345, 1.595, 0.685, 0.899, 0.43, 10.625, 2.456, 2.564, 1.428, 0.579, 7.253, 1.194, 2.746, 1.962, 0.499, 138.092, 9.31, 2.372, 1.799, 0.664
1627749349.0086, 102.252, 8.882, 1.807, 1.146, 0.695, 8.196, 1.996, 0.923, 1.074, 0.478, 9.924, 2.614, 2.156, 1.455, 0.63, 6.777, 1.462, 3.281, 2.326, 0.531, 117.097, 7.826, 2.688, 1.972, 0.716
