Timestamp, COUNTER, INTERPOLATED, AF3, T7, Pz, T8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1632390110.3336, 112, 0, 4191.795, 4151.795, 4109.231, 4232.821, 4181.538, 450, 0, []
1632390110.3416, 113, 0, 4183.077, 4132.821, 4091.282, 4225.641, 4162.051, 450, 0, []
1632390110.3494, 114, 0, 4207.179, 4157.949, 4097.436, 4251.795, 4175.897, 450, 0, []
1632390110.3573, 115, 0, 4224.103, 4191.282, 4104.103, 4264.615, 4192.821, 16187, 0, []
1632390110.3651, 116, 0, 4206.154, 4189.744, 4107.692, 4246.667, 4192.308, 450, 0, []
1632390110.373, 117, 0, 4213.846, 4179.487, 4133.846, 4249.744, 4203.59, 450, 0, []
1632390110.3808, 118, 0, 4239.487, 4176.923, 4143.59, 4275.385, 4207.179, 450, 0, []
1632390110.3887, 119, 0, 4233.333, 4164.615, 4122.564, 4288.205, 4187.179, 16187, 0, []
1632390110.3966, 120, 0, 4213.333, 4151.282, 4105.128, 4279.487, 4179.487, 450, 0, []
1632390110.4045, 121, 0, 4208.718, 4152.308, 4105.128, 4263.077, 4194.359, 450, 0, []
1632390110.4123, 122, 0, 4210.769, 4173.333, 4113.333, 4251.282, 4192.821, 450, 0, []
1632390110.4202, 123, 0, 4208.205, 4194.359, 4107.179, 4246.667, 4161.026, 16187, 0, []
1632390110.4279, 124, 0, 4215.385, 4204.615, 4097.949, 4259.487, 4141.538, 450, 0, []
1632390110.4359, 125, 0, 4223.59, 4215.897, 4104.615, 4281.538, 4158.462, 450, 0, []
1632390110.4438, 126, 0, 4197.436, 4201.538, 4103.077, 4257.436, 4163.59, 450, 0, []
1632390110.4518, 127, 0, 4172.308, 4170.769, 4096.41, 4221.538, 4145.641, 16187, 0, []
1632390110.4597, 128, 0, 4196.41, 4181.026, 4109.744, 4249.744, 4154.872, 450, 0, []
1632390110.4676, 0, 0, 4216.41, 4208.205, 4113.333, 4278.974, 4152.308, 450, 0, []
1632390110.4755, 1, 0, 4193.846, 4192.821, 4085.641, 4251.795, 4120.513, 450, 0, []
1632390110.4835, 2, 0, 4185.128, 4156.41, 4085.128, 4231.795, 4125.128, 16167, 0, []
1632390110.4914, 3, 0, 4191.282, 4148.205, 4109.231, 4229.744, 4153.333, 450, 0, []
1632390110.4992, 4, 0, 4181.026, 4175.385, 4096.923, 4211.282, 4137.949, 16133, 0, []
1632390110.507, 5, 0, 4182.564, 4206.154, 4075.897, 4208.205, 4106.667, 450, 0, []
1632390110.5148, 6, 0, 4202.051, 4204.615, 4082.051, 4223.59, 4117.436, 16159, 0, []
1632390110.5227, 7, 0, 4198.462, 4184.615, 4084.103, 4215.385, 4138.462, 450, 0, []
1632390110.5305, 8, 0, 4167.692, 4187.179, 4071.282, 4188.205, 4133.846, 450, 0, []
1632390110.5384, 9, 0, 4169.231, 4211.795, 4076.923, 4180, 4135.385, 16148, 0, []
1632390110.5461, 10, 0, 4202.051, 4223.59, 4101.538, 4197.436, 4145.641, 450, 0, []
1632390110.554, 11, 0, 4209.231, 4207.692, 4093.333, 4204.103, 4134.872, 16203, 0, []
