Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1630344784.7805, 6.499, 4.792, 0.96, 1.114, 0.903, 3.883, 2.869, 0.567, 2.005, 1.212, 0.571, 0.416, 1.483, 0.789, 0.588, 3.553, 1.353, 2.192, 1.713, 0.917, 7.125, 4.07, 1.224, 0.757, 0.731
1630344784.9074, 7.477, 5.174, 1.11, 1.161, 0.842, 3.712, 2.899, 0.682, 1.842, 1.196, 0.468, 0.459, 1.504, 0.727, 0.454, 3.28, 1.426, 2.461, 1.692, 0.887, 7.225, 3.767, 1.268, 0.908, 0.757
1630344785.0343, 8.294, 5.679, 1.224, 1.231, 0.761, 3.323, 2.758, 0.812, 1.587, 1.151, 0.388, 0.583, 1.495, 0.619, 0.371, 2.737, 1.493, 2.564, 1.616, 0.804, 7.164, 3.733, 1.303, 1.103, 0.734
1630344785.1612, 8.818, 6.13, 1.286, 1.352, 0.714, 2.762, 2.502, 0.926, 1.335, 1.088, 0.341, 0.728, 1.422, 0.491, 0.347, 2.171, 1.542, 2.526, 1.531, 0.711, 7.241, 3.836, 1.317, 1.331, 0.674
1630344785.2881, 9.058, 6.29, 1.305, 1.509, 0.737, 2.269, 2.216, 1.016, 1.174, 1.024, 0.322, 0.823, 1.275, 0.381, 0.369, 1.804, 1.571, 2.51, 1.458, 0.653, 7.743, 3.858, 1.325, 1.552, 0.613
1630344785.4151, 8.942, 5.996, 1.283, 1.644, 0.832, 1.951, 1.956, 1.081, 1.138, 0.971, 0.319, 0.828, 1.072, 0.315, 0.415, 1.821, 1.59, 2.684, 1.392, 0.662, 8.753, 3.662, 1.328, 1.716, 0.596
1630344785.5419, 8.547, 5.25, 1.235, 1.691, 0.971, 1.861, 1.745, 1.134, 1.197, 0.935, 0.317, 0.743, 0.856, 0.3, 0.468, 2.221, 1.625, 3.114, 1.328, 0.739, 10.125, 3.241, 1.321, 1.791, 0.659
1630344785.6689, 7.911, 4.255, 1.227, 1.624, 1.106, 1.997, 1.581, 1.21, 1.281, 0.916, 0.319, 0.602, 0.668, 0.331, 0.513, 2.894, 1.711, 3.717, 1.293, 0.859, 11.466, 2.719, 1.333, 1.781, 0.809
1630344785.7958, 7.103, 3.339, 1.366, 1.467, 1.197, 2.241, 1.459, 1.368, 1.329, 0.914, 0.318, 0.463, 0.541, 0.393, 0.544, 3.579, 1.859, 4.291, 1.332, 0.979, 12.329, 2.303, 1.435, 1.709, 1.012
1630344785.9227, 6.242, 2.752, 1.733, 1.28, 1.23, 2.519, 1.354, 1.617, 1.317, 0.921, 0.354, 0.394, 0.488, 0.473, 0.559, 4.135, 2.012, 4.631, 1.487, 1.059, 12.385, 2.118, 1.701, 1.604, 1.211
1630344786.0496, 5.562, 2.62, 2.297, 1.122, 1.206, 2.82, 1.268, 1.901, 1.258, 0.923, 0.742, 0.536, 0.545, 0.556, 0.56, 4.557, 2.09, 4.633, 1.747, 1.077, 11.756, 2.191, 2.135, 1.487, 1.35
1630344786.1765, 6.684, 3.015, 2.947, 1.035, 1.136, 3.15, 1.206, 2.118, 1.183, 0.91, 7.782, 3.303, 1.087, 0.649, 0.557, 4.948, 2.043, 4.368, 2.049, 1.034, 11.369, 2.534, 2.683, 1.396, 1.399
1630344786.3035, 12.391, 4.141, 3.483, 1.041, 1.044, 3.484, 1.156, 2.188, 1.114, 0.887, 38.202, 15.33, 3.127, 0.796, 0.568, 5.429, 1.876, 3.991, 2.301, 0.951, 12.753, 3.299, 3.214, 1.36, 1.36
1630344786.4303, 24.764, 6.136, 3.727, 1.139, 0.964, 3.645, 1.1, 2.085, 1.06, 0.881, 108.398, 43.044, 7.826, 1.051, 0.618, 5.922, 1.639, 3.658, 2.45, 0.863, 17.142, 4.624, 3.606, 1.399, 1.272
1630344786.5573, 43.706, 8.827, 3.635, 1.326, 0.934, 3.614, 1.031, 1.857, 1.034, 0.931, 220.587, 86.969, 15.489, 1.437, 0.716, 6.363, 1.43, 3.483, 2.516, 0.806, 24.474, 6.432, 3.804, 1.519, 1.197
1630344786.6842, 64.455, 11.591, 3.279, 1.591, 0.974, 3.459, 0.936, 1.634, 1.055, 1.064, 353.682, 138.791, 24.879, 1.91, 0.85, 6.473, 1.327, 3.465, 2.568, 0.804, 32.319, 8.327, 3.796, 1.712, 1.183
1630344786.8111, 80.383, 13.677, 2.811, 1.894, 1.072, 3.114, 0.821, 1.595, 1.13, 1.276, 470.956, 183.768, 33.529, 2.369, 0.984, 6.059, 1.363, 3.532, 2.666, 0.856, 37.262, 9.865, 3.612, 1.947, 1.243
1630344786.9381, 88.524, 14.452, 2.388, 2.173, 1.182, 2.841, 0.698, 1.881, 1.244, 1.539, 533.36, 207.023, 38.74, 2.694, 1.077, 5.26, 1.544, 3.622, 2.807, 0.939, 40.86, 10.655, 3.293, 2.175, 1.344
1630344787.0649, 85.845, 13.664, 2.117, 2.385, 1.247, 2.498, 0.611, 2.484, 1.363, 1.8, 519.394, 200.373, 38.72, 2.801, 1.099, 4.191, 1.847, 3.725, 2.916, 1.013, 39.93, 10.485, 2.89, 2.363, 1.432
1630344787.1919, 75.902, 11.595, 2.065, 2.507, 1.225, 2.215, 0.592, 3.248, 1.466, 1.998, 434.897, 166.438, 33.513, 2.679, 1.043, 3.463, 2.265, 3.964, 2.896, 1.04, 38.732, 9.452, 2.463, 2.5, 1.453
1630344787.3187, 61.516, 8.893, 2.256, 2.544, 1.11, 2.012, 0.661, 3.933, 1.566, 2.084, 309.711, 117.204, 25.03, 2.399, 0.929, 3.251, 2.762, 4.524, 2.729, 0.997, 35.626, 7.886, 2.106, 2.583, 1.384
