Timestamp, COUNTER, INTERPOLATED, AF3, T7, Pz, T8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1629045095.3767, 114, 0, 4185.128, 4356.41, 4156.41, 4167.179, 4181.026, 450, 0, []
1629045095.3846, 115, 0, 4177.436, 4355.385, 4155.385, 4158.974, 4175.385, 16205, 0, []
1629045095.3925, 116, 0, 4191.282, 4361.026, 4151.795, 4177.949, 4185.641, 450, 0, []
1629045095.4004, 117, 0, 4212.821, 4387.179, 4185.641, 4204.615, 4208.205, 450, 0, []
1629045095.4084, 118, 0, 4216.41, 4398.974, 4159.487, 4215.897, 4214.359, 450, 0, []
1629045095.4163, 119, 0, 4215.385, 4390.769, 4173.846, 4217.436, 4205.641, 16205, 0, []
1629045095.4243, 120, 0, 4217.949, 4390.769, 4167.692, 4200.513, 4203.077, 450, 0, []
1629045095.4321, 121, 0, 4206.667, 4395.385, 4147.692, 4181.538, 4198.974, 450, 0, []
1629045095.4401, 122, 0, 4195.897, 4367.179, 4177.436, 4175.385, 4184.615, 450, 0, []
1629045095.448, 123, 0, 4197.949, 4307.692, 4155.385, 4169.744, 4181.538, 16205, 0, []
1629045095.4558, 124, 0, 4206.154, 4272.821, 4169.744, 4181.538, 4200.513, 450, 0, []
1629045095.4637, 125, 0, 4214.872, 4283.59, 4163.077, 4196.41, 4210.256, 450, 0, []
1629045095.4714, 126, 0, 4213.333, 4284.103, 4136.41, 4196.923, 4203.59, 450, 0, []
1629045095.4793, 127, 0, 4208.205, 4275.385, 4171.282, 4200.513, 4201.538, 16205, 0, []
1629045095.4871, 128, 0, 4195.897, 4283.59, 4153.846, 4191.795, 4193.846, 450, 0, []
1629045095.495, 0, 0, 4173.333, 4273.333, 4164.615, 4166.154, 4175.897, 450, 0, []
1629045095.5028, 1, 0, 4177.436, 4261.538, 4170.256, 4155.385, 4181.538, 450, 0, []
1629045095.5106, 2, 0, 4212.821, 4292.308, 4150.256, 4185.128, 4206.667, 16188, 0, []
1629045095.5184, 3, 0, 4223.59, 4314.359, 4182.564, 4213.333, 4210.769, 450, 0, []
1629045095.5264, 4, 0, 4206.154, 4292.308, 4155.897, 4200.513, 4194.872, 16170, 0, []
1629045095.5343, 5, 0, 4200.513, 4271.795, 4157.949, 4188.718, 4182.051, 450, 0, []
1629045095.5423, 6, 0, 4198.974, 4282.051, 4174.359, 4185.641, 4175.385, 314, 0, []
1629045095.5501, 7, 0, 4197.436, 4303.59, 4149.231, 4173.846, 4178.462, 450, 0, []
1629045095.558, 8, 0, 4204.615, 4305.641, 4181.026, 4170.769, 4187.692, 450, 0, []
1629045095.5659, 9, 0, 4204.103, 4289.744, 4167.179, 4170.256, 4193.333, 16144, 0, []
1629045095.5737, 10, 0, 4196.923, 4278.462, 4164.103, 4174.872, 4191.795, 450, 0, []
1629045095.5817, 11, 0, 4199.487, 4277.949, 4184.615, 4188.205, 4192.308, 16205, 0, []
1629045095.5895, 12, 0, 4196.923, 4294.359, 4162.051, 4195.385, 4194.359, 450, 0, []
1629045095.5974, 13, 0, 4187.179, 4307.179, 4187.179, 4195.385, 4189.231, 450, 0, []
1629045095.6054, 14, 0, 4190.256, 4293.846, 4168.718, 4190.256, 4187.692, 450, 0, []
1629045095.6133, 15, 0, 4204.615, 4287.692, 4166.154, 4198.462, 4200, 16205, 0, []
1629045095.6213, 16, 0, 4208.205, 4292.308, 4191.282, 4201.026, 4206.667, 0, 0, []
1629045095.6292, 17, 0, 4196.41, 4278.974, 4151.282, 4180.513, 4193.846, 0, 0, []
1629045095.6369, 18, 0, 4192.821, 4276.41, 4177.949, 4174.872, 4188.718, 0, 0, []
1629045095.6448, 19, 0, 4198.462, 4288.718, 4180.513, 4175.385, 4192.821, 0, 0, []
1629045095.6526, 20, 0, 4196.923, 4275.385, 4163.59, 4172.308, 4189.744, 0, 0, []
1629045095.6605, 21, 0, 4192.821, 4265.128, 4181.538, 4174.359, 4189.744, 0, 0, []
1629045095.6683, 22, 0, 4195.897, 4279.487, 4150.769, 4175.897, 4196.41, 0, 0, []
1629045095.6761, 23, 0, 4203.077, 4295.385, 4171.282, 4184.103, 4200.513, 0, 0, []
1629045095.6839, 24, 0, 4204.615, 4311.282, 4168.205, 4186.154, 4199.487, 0, 0, []
1629045095.6919, 25, 0, 4198.974, 4299.487, 4155.385, 4183.59, 4201.026, 0, 0, []
1629045095.6998, 26, 0, 4201.026, 4276.41, 4191.795, 4187.179, 4203.59, 0, 0, []
1629045095.7078, 27, 0, 4208.718, 4286.667, 4163.59, 4187.179, 4197.436, 0, 0, []
1629045095.7156, 28, 0, 4210.769, 4297.436, 4177.436, 4191.795, 4198.462, 0, 0, []
1629045095.7236, 29, 0, 4211.282, 4293.846, 4185.128, 4194.359, 4211.795, 0, 0, []
1629045095.7315, 30, 0, 4211.282, 4293.333, 4164.615, 4193.846, 4214.359, 0, 0, []
1629045095.7395, 31, 0, 4204.103, 4281.538, 4191.795, 4191.795, 4203.077, 0, 0, []
1629045095.7474, 32, 0, 4198.462, 4274.359, 4170.769, 4182.564, 4201.538, 0, 0, []
1629045095.7553, 33, 0, 4200, 4290.256, 4180, 4178.462, 4200, 0, 0, []
1629045095.7632, 34, 0, 4198.462, 4308.718, 4175.897, 4175.897, 4193.846, 0, 0, []
1629045095.771, 35, 0, 4192.821, 4310.769, 4146.154, 4176.923, 4196.923, 0, 0, []
1629045095.7789, 36, 0, 4190.769, 4296.41, 4179.487, 4184.103, 4202.051, 0, 0, []
1629045095.7867, 37, 0, 4195.385, 4290.769, 4160, 4182.564, 4197.949, 0, 0, []
1629045095.7945, 38, 0, 4204.615, 4304.103, 4157.949, 4181.026, 4195.385, 0, 0, []
1629045095.8023, 39, 0, 4197.949, 4299.487, 4158.462, 4175.897, 4191.282, 0, 0, []
1629045095.8102, 40, 0, 4177.949, 4274.359, 4130.256, 4169.231, 4175.385, 0, 0, []
1629045095.818, 41, 0, 4175.897, 4284.615, 4173.333, 4177.949, 4168.205, 0, 0, []
1629045095.8259, 42, 0, 4182.051, 4317.949, 4160.513, 4178.974, 4172.308, 0, 0, []
1629045095.8336, 43, 0, 4173.846, 4319.487, 4147.179, 4164.103, 4170.256, 0, 0, []
1629045095.8416, 44, 0, 4172.821, 4309.231, 4153.846, 4148.205, 4166.154, 0, 0, []
1629045095.8495, 45, 0, 4178.974, 4304.103, 4124.103, 4140.513, 4170.256, 0, 0, []
1629045095.8575, 46, 0, 4169.231, 4302.564, 4150.769, 4145.641, 4170.256, 0, 0, []
1629045095.8654, 47, 0, 4157.949, 4311.282, 4137.436, 4150.256, 4165.128, 0, 0, []
1629045095.8733, 48, 0, 4167.692, 4314.359, 4142.564, 4154.359, 4171.282, 0, 0, []
1629045095.8812, 49, 0, 4173.846, 4314.359, 4176.923, 4157.436, 4174.872, 0, 0, []
1629045095.8892, 50, 0, 4163.59, 4321.538, 4151.282, 4156.923, 4163.077, 0, 0, []
1629045095.8971, 51, 0, 4163.077, 4316.41, 4180, 4163.59, 4163.59, 0, 0, []
1629045095.9051, 52, 0, 4176.923, 4304.615, 4175.897, 4165.641, 4180, 0, 0, []
1629045095.9129, 53, 0, 4184.103, 4306.154, 4164.615, 4171.282, 4187.179, 0, 0, []
1629045095.9207, 54, 0, 4181.538, 4305.641, 4186.154, 4173.333, 4184.615, 0, 0, []
1629045095.9286, 55, 0, 4179.487, 4294.872, 4154.359, 4160.513, 4183.59, 0, 0, []
1629045095.9364, 56, 0, 4186.667, 4301.026, 4177.949, 4166.667, 4183.59, 0, 0, []
1629045095.9443, 57, 0, 4197.949, 4324.103, 4174.359, 4180, 4193.846, 0, 0, []
1629045095.9521, 58, 0, 4200.513, 4324.103, 4153.846, 4181.026, 4205.641, 0, 0, []
1629045095.9599, 59, 0, 4189.744, 4314.872, 4177.436, 4174.359, 4194.872, 0, 0, []
1629045095.9677, 60, 0, 4180.513, 4321.026, 4146.667, 4163.077, 4180, 0, 0, []
1629045095.9756, 61, 0, 4183.59, 4318.462, 4164.103, 4161.026, 4183.077, 0, 0, []
1629045095.9834, 62, 0, 4188.205, 4302.564, 4162.564, 4160, 4185.641, 0, 0, []
1629045095.9914, 63, 0, 4195.897, 4309.231, 4143.077, 4170.256, 4185.128, 0, 0, []
1629045095.9992, 64, 0, 4205.128, 4328.205, 4187.179, 4190.256, 4190.256, 450, 0, []
1629045096.0072, 65, 0, 4193.846, 4323.59, 4164.615, 4183.59, 4180, 450, 0, []
1629045096.0151, 66, 0, 4176.41, 4313.333, 4157.949, 4172.308, 4164.103, 16188, 0, []
1629045096.0231, 67, 0, 4176.41, 4320.513, 4153.846, 4173.333, 4170.256, 450, 0, []
1629045096.031, 68, 0, 4181.026, 4342.564, 4134.872, 4169.231, 4180, 16170, 0, []
