Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1631430184.6568, 47.154, 9.29, 4.072, 2.226, 1.027, 91.304, 16.249, 12.79, 14.347, 5.35, 1.436, 0.708, 0.872, 1.08, 0.684, 3.49, 1.208, 0.979, 1.091, 0.806, 33.716, 8.265, 3.637, 2.454, 0.996
1631430184.7828, 32.327, 7.405, 3.643, 1.883, 0.983, 123.65, 22.647, 15.757, 21.473, 7.578, 1.318, 0.744, 0.941, 1.089, 0.613, 3.132, 1.282, 0.942, 0.833, 0.745, 25.715, 6.727, 3.434, 2.195, 0.873
1631430184.909, 37.485, 8.73, 3.638, 1.583, 0.961, 149.507, 28.58, 17.792, 27.364, 9.463, 1.191, 0.815, 0.979, 1.045, 0.575, 2.663, 1.476, 0.918, 0.656, 0.754, 30.526, 7.466, 3.469, 1.952, 0.79
1631430185.0349, 60.36, 12.728, 4.167, 1.366, 0.967, 164.24, 32.564, 18.16, 30.063, 10.413, 1.044, 0.868, 0.966, 0.96, 0.567, 2.155, 1.641, 0.929, 0.572, 0.826, 46.852, 10.032, 3.816, 1.749, 0.751
1631430185.1612, 90.316, 17.5, 5.044, 1.258, 0.994, 164.324, 33.408, 16.522, 28.633, 10.133, 0.89, 0.864, 0.895, 0.853, 0.58, 1.715, 1.681, 0.965, 0.563, 0.935, 67.777, 13.092, 4.372, 1.602, 0.744
1631430185.2872, 114.944, 20.922, 5.91, 1.282, 1.025, 166.094, 31.307, 13.981, 23.898, 9.057, 0.734, 0.788, 0.776, 0.753, 0.6, 1.446, 1.576, 0.985, 0.607, 1.038, 85.267, 15.271, 4.92, 1.535, 0.756
1631430185.4133, 124.426, 22.074, 6.431, 1.439, 1.039, 199.466, 30.563, 14.166, 18.467, 8.586, 0.596, 0.661, 0.631, 0.684, 0.618, 1.305, 1.393, 0.948, 0.685, 1.095, 92.191, 15.981, 5.264, 1.572, 0.773
1631430185.5396, 115.116, 20.771, 6.526, 1.681, 1.025, 336.601, 44.293, 23.222, 15.613, 11.094, 0.504, 0.517, 0.489, 0.652, 0.624, 1.214, 1.233, 0.85, 0.783, 1.09, 85.626, 15.078, 5.37, 1.694, 0.786
1631430185.6655, 94.216, 17.993, 6.323, 1.914, 0.981, 575.369, 87.45, 48.083, 18.565, 19.286, 0.475, 0.392, 0.38, 0.648, 0.614, 1.103, 1.175, 0.718, 0.895, 1.036, 70.275, 13.137, 5.325, 1.833, 0.792
1631430185.7915, 75.274, 15.44, 6.106, 2.045, 0.924, 908.783, 166.432, 91.742, 28.936, 34.339, 0.518, 0.314, 0.338, 0.652, 0.588, 0.977, 1.231, 0.605, 1.014, 0.972, 56.166, 11.247, 5.307, 1.907, 0.793
1631430185.9179, 71.057, 14.423, 6.153, 2.014, 0.875, 1231.258, 271.428, 148.081, 46.727, 54.477, 0.63, 0.288, 0.392, 0.645, 0.555, 0.885, 1.362, 0.567, 1.132, 0.937, 52.872, 10.294, 5.486, 1.856, 0.794
1631430186.0442, 84.542, 14.954, 6.473, 1.834, 0.862, 1442.949, 379.141, 205.486, 71.113, 75.139, 0.823, 0.309, 0.57, 0.616, 0.523, 0.845, 1.507, 0.626, 1.225, 0.947, 62.776, 10.378, 5.824, 1.668, 0.802
1631430186.1702, 109.816, 16.442, 6.921, 1.688, 0.96, 1469.714, 462.686, 247.225, 100.203, 90.745, 1.103, 0.368, 0.871, 0.572, 0.512, 0.852, 1.626, 0.757, 1.273, 0.985, 81.524, 11.371, 6.179, 1.422, 0.839
