Timestamp, COUNTER, INTERPOLATED, AF3, T7, Pz, T8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1628707398.8908, 105, 0, 4349.744, 3958.974, 4093.333, 4224.103, 4251.795, 450, 0, []
1628707398.8987, 106, 0, 4310.769, 3933.846, 4061.538, 4207.692, 4216.923, 450, 0, []
1628707398.9065, 107, 0, 4343.59, 3987.179, 4098.462, 4233.333, 4251.282, 16223, 0, []
1628707398.9142, 108, 0, 4393.846, 4043.077, 4163.077, 4299.487, 4301.538, 450, 0, []
1628707398.9221, 109, 0, 4375.897, 4036.41, 4156.41, 4301.538, 4286.667, 450, 0, []
1628707398.9299, 110, 0, 4326.667, 4010.256, 4112.821, 4240, 4246.667, 450, 0, []
1628707398.9378, 111, 0, 4321.026, 4008.718, 4120.513, 4229.231, 4244.615, 16223, 0, []
1628707398.9456, 112, 0, 4331.795, 4029.744, 4152.308, 4262.564, 4255.897, 450, 0, []
1628707398.9535, 113, 0, 4323.59, 4046.154, 4152.308, 4265.641, 4254.359, 450, 0, []
1628707398.9612, 114, 0, 4294.359, 4036.41, 4116.923, 4236.923, 4228.718, 450, 0, []
1628707398.9691, 115, 0, 4253.846, 4016.41, 4068.205, 4201.026, 4181.538, 16223, 0, []
1628707398.9769, 116, 0, 4256.923, 4029.744, 4062.564, 4197.436, 4182.564, 450, 0, []
1628707398.9848, 117, 0, 4305.128, 4078.462, 4112.821, 4243.077, 4235.385, 450, 0, []
1628707398.9926, 118, 0, 4315.897, 4104.103, 4140.513, 4277.436, 4257.436, 450, 0, []
1628707399.0004, 119, 0, 4281.026, 4094.872, 4112.821, 4261.026, 4226.667, 16223, 0, []
1628707399.0082, 120, 0, 4271.795, 4096.923, 4088.205, 4243.077, 4211.795, 450, 0, []
1628707399.0161, 121, 0, 4286.667, 4109.231, 4087.179, 4244.103, 4231.795, 450, 0, []
1628707399.0239, 122, 0, 4277.436, 4104.103, 4081.538, 4230.256, 4224.615, 450, 0, []
1628707399.0318, 123, 0, 4256.923, 4090.769, 4067.179, 4210.769, 4200.513, 16223, 0, []
1628707399.0395, 124, 0, 4253.846, 4090.769, 4062.564, 4219.487, 4202.564, 450, 0, []
1628707399.0474, 125, 0, 4269.744, 4107.692, 4083.077, 4248.718, 4226.154, 450, 0, []
1628707399.0552, 126, 0, 4283.59, 4128.718, 4103.077, 4269.231, 4242.564, 450, 0, []
1628707399.063, 127, 0, 4295.897, 4153.846, 4112.821, 4283.59, 4254.359, 16223, 0, []
1628707399.0709, 128, 0, 4304.103, 4175.897, 4111.795, 4289.231, 4264.615, 450, 0, []
1628707399.0786, 0, 0, 4297.949, 4175.897, 4090.769, 4274.359, 4254.359, 450, 0, []
1628707399.0865, 1, 0, 4286.667, 4163.077, 4071.282, 4263.077, 4239.487, 450, 0, []
1628707399.0943, 2, 0, 4262.564, 4145.641, 4056.41, 4252.821, 4216.923, 16197, 0, []
1628707399.1022, 3, 0, 4211.282, 4112.308, 4015.385, 4212.821, 4173.333, 450, 0, []
1628707399.11, 4, 0, 4187.692, 4090.256, 3986.154, 4188.205, 4152.821, 16188, 0, []
1628707399.1178, 5, 0, 4230.256, 4115.897, 4023.59, 4228.205, 4193.333, 450, 0, []
1628707399.1256, 6, 0, 4264.103, 4144.615, 4060, 4262.051, 4225.128, 16148, 0, []
1628707399.1335, 7, 0, 4247.692, 4138.974, 4043.59, 4247.692, 4209.744, 450, 0, []
1628707399.1413, 8, 0, 4233.333, 4133.333, 4037.436, 4248.205, 4207.692, 450, 0, []
1628707399.1492, 9, 0, 4231.795, 4136.923, 4043.59, 4251.795, 4209.744, 16186, 0, []
1628707399.1569, 10, 0, 4210.769, 4124.615, 4011.795, 4211.795, 4175.385, 450, 0, []
1628707399.1648, 11, 0, 4183.59, 4109.744, 3971.795, 4174.359, 4145.641, 16210, 0, []
1628707399.1726, 12, 0, 4178.462, 4116.41, 3964.615, 4176.41, 4147.692, 450, 0, []
1628707399.1804, 13, 0, 4183.59, 4122.051, 3976.923, 4182.051, 4152.308, 450, 0, []
1628707399.1883, 14, 0, 4189.744, 4120, 3991.795, 4188.205, 4155.897, 450, 0, []
1628707399.1961, 15, 0, 4198.974, 4130.256, 4008.205, 4209.744, 4167.692, 16210, 0, []
1628707399.2039, 16, 0, 4209.231, 4141.538, 4010.256, 4222.564, 4176.923, 0, 0, []
1628707399.2117, 17, 0, 4202.564, 4127.692, 3993.333, 4203.077, 4173.333, 0, 0, []
1628707399.2196, 18, 0, 4189.744, 4119.487, 3981.538, 4187.179, 4163.077, 0, 0, []
1628707399.2274, 19, 0, 4196.41, 4143.59, 3995.897, 4202.051, 4166.154, 0, 0, []
1628707399.2352, 20, 0, 4206.667, 4161.538, 4010.256, 4214.872, 4178.974, 0, 0, []
1628707399.243, 21, 0, 4192.821, 4156.923, 3990.256, 4193.333, 4169.744, 0, 0, []
1628707399.2509, 22, 0, 4155.385, 4145.128, 3951.795, 4152.308, 4128.718, 0, 0, []
1628707399.2587, 23, 0, 4147.692, 4153.846, 3952.308, 4146.667, 4121.538, 0, 0, []
1628707399.2666, 24, 0, 4188.718, 4191.795, 3997.436, 4191.795, 4167.692, 0, 0, []
1628707399.2743, 25, 0, 4219.487, 4221.538, 4023.59, 4227.692, 4198.462, 0, 0, []
