Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1632391204.3698, 16.554, 3.668, 2.728, 6.752, 2.941, 7142.92, 2411.807, 783.579, 136.587, 98.065, 7.529, 3.018, 5.784, 6.814, 3.474, 12.595, 4.717, 1.419, 6.786, 3.738, 17.318, 2.894, 3.656, 6.878, 4.516
1632391204.4959, 12.356, 3.425, 3.111, 6.552, 3.221, 6904.231, 2262.437, 734.455, 125.564, 87.859, 8.592, 3.593, 7.192, 6.833, 4.034, 12.317, 4.658, 1.963, 6.757, 4.201, 14.453, 2.548, 4.83, 6.358, 5.401
1632391204.6224, 10.674, 3.598, 3.667, 6.332, 3.632, 5750.586, 1826.394, 592.279, 101.113, 68.424, 9.029, 4.116, 8.38, 7.023, 4.607, 11.669, 4.722, 2.841, 6.791, 4.774, 12.754, 2.731, 6.079, 6.018, 6.338
1632391204.7489, 10.312, 4.006, 4.256, 6.188, 4.026, 4051.077, 1245.984, 403.842, 70.395, 45.678, 8.692, 4.483, 9.032, 7.529, 5.057, 10.91, 4.858, 3.814, 6.983, 5.236, 11.445, 3.117, 7.03, 6.105, 7.009
1632391204.8751, 10.333, 4.457, 4.732, 6.117, 4.24, 2351.608, 693.082, 225.099, 41.661, 25.676, 7.873, 4.903, 9.088, 8.296, 5.268, 10.242, 5.064, 4.631, 7.287, 5.384, 10.264, 3.527, 7.384, 6.604, 7.145
1632391205.0019, 10.238, 4.79, 4.976, 6.023, 4.187, 1048.106, 293.236, 96.904, 20.928, 12.191, 6.804, 5.601, 8.683, 9.052, 5.196, 9.666, 5.291, 5.086, 7.508, 5.135, 9.545, 3.855, 7.031, 7.214, 6.674
1632391205.1288, 11.424, 5.048, 4.941, 5.775, 3.877, 312.112, 82.595, 29.326, 9.764, 5.665, 5.828, 6.651, 8.035, 9.418, 4.891, 9.213, 5.474, 5.081, 7.41, 4.56, 11.683, 4.239, 6.097, 7.523, 5.76
1632391205.2558, 16.343, 5.533, 4.661, 5.314, 3.413, 55.605, 13.879, 6.809, 5.715, 3.881, 5.118, 7.864, 7.344, 9.118, 4.472, 8.982, 5.568, 4.667, 6.858, 3.844, 19.922, 5.054, 4.9, 7.245, 4.73
1632391205.3827, 26.641, 6.589, 4.21, 4.694, 2.921, 13.159, 6.164, 3.132, 4.809, 3.895, 4.781, 8.837, 6.741, 8.128, 4.087, 9.127, 5.558, 4.016, 5.905, 3.209, 36.049, 6.59, 3.808, 6.389, 3.928
1632391205.5097, 40.928, 8.288, 3.702, 4.062, 2.495, 11.462, 6.174, 2.536, 4.321, 3.987, 4.758, 9.189, 6.283, 6.706, 3.843, 9.543, 5.423, 3.353, 4.79, 2.809, 57.787, 8.761, 3.06, 5.227, 3.556
1632391205.6366, 55.233, 10.27, 3.238, 3.581, 2.167, 9.588, 5.8, 2.23, 3.684, 3.836, 4.896, 8.687, 5.943, 5.234, 3.756, 9.982, 5.142, 2.813, 3.796, 2.667, 79.271, 11.051, 2.685, 4.118, 3.597
1632391205.7634, 64.489, 11.829, 2.898, 3.382, 1.941, 7.786, 4.99, 2.145, 3.047, 3.474, 4.849, 7.363, 5.638, 4.057, 3.759, 10.046, 4.678, 2.447, 3.149, 2.72, 93.295, 12.656, 2.546, 3.347, 3.859
1632391205.8903, 65.137, 12.319, 2.706, 3.492, 1.821, 5.478, 3.971, 2.194, 2.532, 3.028, 4.51, 5.601, 5.248, 3.354, 3.758, 9.578, 4.097, 2.25, 2.932, 2.891, 94.893, 12.942, 2.429, 3.03, 4.113
1632391206.0173, 56.608, 11.464, 2.665, 3.856, 1.829, 4.024, 2.992, 2.274, 2.196, 2.656, 3.933, 3.929, 4.75, 3.121, 3.707, 8.481, 3.586, 2.204, 3.112, 3.144, 83.274, 11.754, 2.249, 3.115, 4.227
1632391206.1442, 41.75, 9.575, 2.803, 4.374, 1.988, 2.74, 2.22, 2.324, 2.025, 2.465, 3.255, 2.748, 4.249, 3.258, 3.608, 6.879, 3.342, 2.348, 3.591, 3.462, 62.205, 9.56, 2.11, 3.451, 4.186
1632391206.2712, 25.669, 7.344, 3.103, 4.899, 2.271, 2.022, 1.696, 2.288, 1.953, 2.459, 2.663, 2.174, 3.806, 3.64, 3.491, 5.121, 3.412, 2.672, 4.204, 3.793, 38.774, 7.186, 2.14, 3.877, 4.048
1632391206.3981, 12.731, 5.451, 3.483, 5.264, 2.612, 1.615, 1.378, 2.185, 1.906, 2.549, 2.287, 2.046, 3.436, 4.146, 3.386, 3.529, 3.668, 3.102, 4.756, 4.066, 19.525, 5.378, 2.381, 4.269, 3.884
1632391206.5249, 5.093, 4.25, 3.81, 5.328, 2.927, 1.617, 1.294, 2.134, 1.851, 2.619, 2.212, 2.077, 3.118, 4.655, 3.29, 2.327, 3.905, 3.519, 5.079, 4.213, 7.701, 4.457, 2.765, 4.529, 3.733
1632391206.6517, 2.321, 3.72, 3.97, 5.025, 3.159, 5.33, 1.769, 3.142, 1.86, 2.615, 2.42, 2.094, 2.857, 5.001, 3.17, 1.578, 3.947, 3.785, 5.066, 4.204, 3.023, 4.285, 3.147, 4.563, 3.593
1632391206.7786, 2.262, 3.541, 3.884, 4.397, 3.287, 19.274, 4.017, 7.039, 2.452, 2.607, 2.755, 2.078, 2.658, 5.038, 3.004, 1.169, 3.704, 3.771, 4.702, 4.056, 2.496, 4.427, 3.359, 4.339, 3.457
1632391206.9055, 2.847, 3.337, 3.533, 3.616, 3.335, 61.946, 11.54, 17.336, 5.85, 2.956, 3.051, 2.053, 2.467, 4.733, 2.809, 1.025, 3.182, 3.43, 4.099, 3.835, 3.097, 4.43, 3.262, 3.926, 3.339
1632391207.0325, 3.441, 3.026, 2.967, 2.884, 3.348, 142.674, 42.372, 39.099, 16.487, 4.709, 3.222, 2.159, 2.231, 4.186, 2.666, 1.14, 2.587, 2.849, 3.438, 3.628, 3.819, 4.223, 2.832, 3.474, 3.294
1632391207.1593, 3.828, 2.781, 2.338, 2.353, 3.375, 278.977, 133.528, 78.629, 38.642, 9.406, 3.275, 2.584, 1.975, 3.583, 2.674, 1.481, 2.244, 2.195, 2.886, 3.508, 4.353, 4.034, 2.223, 3.145, 3.374
1632391207.2848, 3.863, 2.744, 1.809, 2.064, 3.443, 447.481, 319.608, 139.775, 73.475, 18.307, 3.289, 3.418, 1.772, 3.1, 2.887, 2.012, 2.393, 1.62, 2.528, 3.507, 4.667, 4.095, 1.665, 3.02, 3.588
1632391207.4101, 3.548, 2.96, 1.488, 1.965, 3.544, 637.777, 597.038, 219.701, 117.095, 31.792, 3.338, 4.567, 1.682, 2.811, 3.252, 2.628, 3.044, 1.205, 2.341, 3.592, 4.748, 4.481, 1.346, 3.059, 3.86
1632391207.5353, 3.01, 3.305, 1.396, 1.949, 3.628, 884.31, 914.156, 303.413, 160.689, 48.892, 3.501, 5.709, 1.762, 2.684, 3.628, 3.239, 3.999, 0.985, 2.23, 3.69, 4.696, 5.045, 1.316, 3.118, 4.056
1632391207.6606, 2.476, 3.564, 1.466, 1.908, 3.635, 1280.25, 1191.736, 369.778, 193.582, 67.124, 3.751, 6.454, 2.03, 2.633, 3.855, 3.645, 5.008, 1.067, 2.095, 3.732, 4.632, 5.511, 1.494, 3.061, 4.063
