Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1631386867.3855, 96.066, 17.105, 4.232, 1.086, 0.487, 6690.655, 1354.307, 419.54, 131.719, 28.303, 12.281, 13.81, 3.403, 9.665, 15.174, 7.098, 2.357, 2.612, 0.828, 0.801, 39.083, 11.249, 3.673, 0.767, 0.471
1631386867.5107, 101.359, 16.019, 5.124, 1.091, 0.565, 4283.029, 876.628, 265.357, 83.737, 18.138, 10.529, 12.974, 4.055, 9.457, 16.723, 5.901, 2.858, 3.778, 0.92, 0.929, 41.311, 9.615, 4.184, 0.839, 0.545
1631386867.636, 95.654, 14.023, 5.81, 1.125, 0.633, 2209.974, 448.743, 133.334, 42.566, 9.238, 8.202, 11.317, 4.763, 8.766, 18.468, 4.576, 3.381, 4.86, 1.013, 1.044, 39.513, 7.789, 4.627, 0.894, 0.618
1631386867.7612, 80.823, 11.443, 6.051, 1.188, 0.677, 842.961, 166.618, 47.677, 15.63, 3.438, 5.874, 9.429, 5.446, 7.863, 20.12, 3.574, 3.838, 5.605, 1.086, 1.113, 34.27, 6.098, 4.858, 0.924, 0.675
1631386867.8865, 60.444, 8.634, 5.736, 1.262, 0.689, 186.701, 36.426, 10.132, 3.442, 0.847, 4.064, 7.803, 5.943, 7.004, 21.587, 3.073, 4.157, 5.833, 1.114, 1.112, 26.848, 4.709, 4.784, 0.928, 0.701
1631386868.0118, 39.862, 5.96, 4.974, 1.322, 0.67, 25.483, 4.178, 1.754, 0.542, 0.288, 2.963, 6.532, 6.065, 6.357, 22.996, 3.019, 4.288, 5.529, 1.098, 1.037, 19.21, 3.646, 4.431, 0.927, 0.691
1631386868.137, 22.687, 3.733, 3.994, 1.347, 0.626, 28.341, 9.136, 4.132, 0.591, 0.444, 2.449, 5.44, 5.687, 5.99, 24.521, 3.124, 4.211, 4.843, 1.06, 0.909, 12.714, 2.85, 3.898, 0.947, 0.651
1631386868.2623, 11.413, 2.229, 3.091, 1.331, 0.575, 89.212, 31.207, 13.06, 1.231, 0.908, 2.308, 4.313, 4.849, 5.865, 26.117, 3.163, 3.946, 4.038, 1.042, 0.766, 8.271, 2.297, 3.333, 1.002, 0.601
1631386868.3875, 6.436, 1.69, 2.464, 1.305, 0.53, 310.781, 99.115, 35.23, 3.76, 2.037, 2.348, 3.202, 3.792, 5.886, 27.421, 3.036, 3.574, 3.359, 1.073, 0.648, 6.348, 2.078, 2.856, 1.101, 0.569
1631386868.5128, 8.309, 2.278, 2.192, 1.344, 0.505, 862.226, 241.772, 80.262, 10.398, 4.3, 2.529, 2.33, 2.84, 5.944, 27.926, 2.813, 3.21, 2.969, 1.145, 0.581, 7.461, 2.293, 2.533, 1.279, 0.578
1631386868.6381, 16.533, 4.121, 2.219, 1.55, 0.504, 1927.673, 463.897, 151.625, 24.074, 7.941, 2.875, 1.891, 2.242, 5.954, 27.281, 2.655, 2.893, 2.956, 1.214, 0.569, 11.76, 3.047, 2.406, 1.594, 0.633
1631386868.7633, 30.271, 7.068, 2.417, 1.989, 0.523, 3338.823, 730.889, 245.133, 47.846, 12.975, 3.33, 1.94, 2.187, 5.882, 25.506, 2.659, 2.664, 3.309, 1.239, 0.599, 19.069, 4.297, 2.483, 2.068, 0.72
1631386868.8886, 46.249, 10.456, 2.63, 2.63, 0.546, 4905.178, 976.175, 345.069, 82.193, 19.054, 3.823, 2.342, 2.747, 5.684, 23.009, 2.845, 2.575, 3.921, 1.19, 0.65, 27.731, 5.785, 2.721, 2.626, 0.806
1631386869.0138, 59.683, 13.313, 2.724, 3.336, 0.555, 6037.17, 1126.631, 429.805, 122.634, 25.285, 4.213, 2.888, 3.804, 5.355, 20.41, 3.092, 2.664, 4.604, 1.084, 0.702, 35.235, 7.14, 3.029, 3.134, 0.863
1631386869.1391, 66.598, 14.718, 2.613, 3.897, 0.545, 6522.142, 1135.697, 477.924, 160.173, 30.417, 4.451, 3.38, 5.083, 4.952, 18.244, 3.308, 2.896, 5.142, 0.963, 0.743, 39.22, 7.946, 3.266, 3.429, 0.88
1631386869.2643, 63.893, 14.133, 2.318, 4.119, 0.518, 6239.572, 1064.36, 491.276, 187.525, 34.276, 4.541, 3.633, 6.19, 4.647, 16.776, 3.369, 3.117, 5.367, 0.878, 0.765, 37.977, 7.934, 3.351, 3.409, 0.867
1631386869.3897, 53.559, 11.655, 1.963, 3.919, 0.484, 5851.552, 1053.777, 506.689, 207.415, 38.794, 4.573, 3.568, 6.8, 4.57, 16.002, 3.204, 3.144, 5.226, 0.868, 0.767, 32.402, 7.084, 3.266, 3.063, 0.848
1631386869.5149, 39.969, 8.425, 1.7, 3.362, 0.456, 6124.194, 1248.142, 569.438, 228.5, 46.451, 4.625, 3.282, 6.915, 4.749, 15.735, 2.844, 2.903, 4.789, 0.947, 0.762, 24.959, 5.855, 3.069, 2.501, 0.85
1631386869.6401, 30.635, 6.049, 1.606, 2.631, 0.441, 7489.981, 1688.906, 698.83, 257.305, 58.059, 4.697, 2.942, 6.762, 5.159, 15.777, 2.373, 2.48, 4.188, 1.097, 0.76, 19.639, 4.932, 2.818, 1.905, 0.883
1631386869.7654, 30.548, 5.75, 1.682, 1.943, 0.443, 9799.772, 2267.194, 868.038, 291.597, 71.494, 4.774, 2.729, 6.628, 5.822, 16.021, 1.914, 2.009, 3.558, 1.276, 0.772, 19.357, 4.886, 2.6, 1.452, 0.936
1631386869.8906, 40.037, 7.638, 1.856, 1.457, 0.461, 12088.405, 2766.119, 1013.415, 319.627, 82.224, 4.69, 2.734, 6.7, 6.821, 16.36, 1.574, 1.617, 3.004, 1.435, 0.796, 24.339, 5.796, 2.467, 1.23, 0.982
1631386870.0159, 54.437, 10.672, 2.066, 1.21, 0.487, 13327.958, 2973.208, 1066.657, 325.811, 85.439, 4.423, 2.943, 6.945, 8.383, 16.646, 1.442, 1.369, 2.571, 1.545, 0.822, 32.093, 7.188, 2.445, 1.209, 0.994
1631386870.1412, 67.651, 13.475, 2.329, 1.151, 0.513, 12728.854, 2781.388, 986.536, 299.042, 78.572, 3.954, 3.292, 7.133, 10.742, 16.801, 1.566, 1.268, 2.239, 1.584, 0.834, 39.427, 8.407, 2.566, 1.29, 0.958
1631386870.2664, 76.867, 15.371, 2.766, 1.198, 0.532, 10373.945, 2229.586, 787.333, 240.368, 62.777, 3.385, 3.705, 6.994, 13.952, 16.806, 1.9, 1.266, 1.985, 1.552, 0.819, 44.822, 9.179, 2.892, 1.377, 0.88
1631386870.3918, 82.812, 16.47, 3.513, 1.297, 0.538, 7175.798, 1502.018, 531.425, 163.596, 42.45, 2.822, 4.129, 6.416, 17.766, 16.798, 2.332, 1.299, 1.844, 1.486, 0.772, 48.577, 9.58, 3.504, 1.441, 0.78
1631386870.5169, 87.272, 17.076, 4.575, 1.423, 0.529, 3927.914, 819.198, 289.256, 89.651, 23.228, 2.412, 4.533, 5.495, 21.538, 17.122, 2.74, 1.335, 1.922, 1.435, 0.703, 51.355, 9.755, 4.434, 1.504, 0.687
1631386870.6422, 91.905, 17.373, 5.766, 1.544, 0.512, 1674.927, 332.718, 117.855, 36.736, 9.514, 2.272, 4.83, 4.488, 24.492, 17.993, 3.147, 1.382, 2.355, 1.432, 0.636, 54.177, 9.794, 5.578, 1.583, 0.627
1631386870.7675, 96.238, 17.271, 6.781, 1.62, 0.494, 418.093, 84.337, 30.125, 9.72, 2.518, 2.375, 4.892, 3.635, 26.286, 19.308, 3.671, 1.451, 3.178, 1.492, 0.588, 57.012, 9.645, 6.703, 1.669, 0.613
1631386870.8927, 97.522, 16.49, 7.311, 1.615, 0.485, 58.824, 8.08, 3.84, 1.446, 0.399, 2.7, 4.644, 3.05, 27.197, 20.691, 4.38, 1.539, 4.26, 1.587, 0.568, 58.441, 9.147, 7.527, 1.731, 0.639
1631386871.018, 92.603, 14.73, 7.178, 1.515, 0.489, 2.749, 0.653, 1.459, 0.668, 0.247, 3.154, 4.144, 2.696, 27.989, 21.592, 5.197, 1.613, 5.324, 1.668, 0.57, 56.482, 8.134, 7.815, 1.733, 0.684
1631386871.1432, 80.013, 11.974, 6.424, 1.327, 0.507, 2.993, 0.798, 1.892, 0.78, 0.347, 3.603, 3.596, 2.489, 29.684, 21.649, 5.932, 1.616, 6.012, 1.69, 0.582, 49.972, 6.587, 7.467, 1.647, 0.722
1631386871.2685, 61.36, 8.592, 5.307, 1.079, 0.534, 2.34, 0.881, 2.254, 0.838, 0.461, 3.893, 3.335, 2.41, 32.905, 20.854, 6.339, 1.509, 6.077, 1.662, 0.587, 39.61, 4.719, 6.554, 1.471, 0.734
1631386871.3939, 40.66, 5.215, 4.199, 0.832, 0.569, 2.543, 0.868, 2.581, 0.872, 0.577, 3.955, 3.614, 2.576, 37.269, 19.444, 6.307, 1.311, 5.578, 1.666, 0.579, 27.541, 2.887, 5.32, 1.273, 0.718
1631386871.5191, 22.931, 2.675, 3.462, 0.667, 0.607, 2.081, 0.792, 2.94, 0.931, 0.678, 3.86, 4.462, 3.147, 41.66, 17.889, 5.872, 1.094, 4.851, 1.806, 0.563, 16.797, 1.541, 4.133, 1.171, 0.683
1631386871.6443, 12.542, 1.453, 3.267, 0.655, 0.648, 1.966, 0.693, 3.376, 1.053, 0.748, 3.769, 5.645, 4.168, 45.069, 16.719, 5.3, 0.992, 4.357, 2.181, 0.546, 10.184, 0.934, 3.312, 1.271, 0.645
1631386871.7695, 11.117, 1.593, 3.568, 0.811, 0.689, 1.953, 0.626, 3.818, 1.239, 0.78, 3.831, 6.714, 5.472, 46.944, 16.157, 4.813, 1.088, 4.421, 2.854, 0.54, 8.94, 1.078, 2.991, 1.586, 0.614
1631386871.8948, 19.428, 2.973, 4.165, 1.089, 0.728, 2.268, 0.632, 4.14, 1.447, 0.775, 4.115, 7.24, 6.719, 47.406, 16.042, 4.629, 1.408, 5.101, 3.772, 0.551, 13.964, 1.901, 3.087, 2.019, 0.592
1631386872.0201, 36.8, 5.458, 4.8, 1.404, 0.759, 2.467, 0.695, 4.213, 1.614, 0.746, 4.517, 7.003, 7.532, 47.296, 15.983, 4.696, 1.875, 6.178, 4.738, 0.575, 25.001, 3.336, 3.367, 2.396, 0.573
1631386872.1453, 59.51, 8.703, 5.231, 1.667, 0.773, 3.135, 0.806, 3.999, 1.685, 0.706, 4.818, 6.071, 7.62, 47.535, 15.663, 4.912, 2.367, 7.261, 5.524, 0.6, 39.593, 5.198, 3.578, 2.572, 0.551
1631386872.2706, 80.88, 12.463, 5.277, 1.803, 0.763, 3.069, 0.922, 3.576, 1.648, 0.669, 4.806, 4.758, 6.941, 48.459, 15.056, 5.143, 2.813, 8.028, 5.966, 0.615, 53.349, 7.394, 3.558, 2.495, 0.522
1631386872.396, 96.1, 16.426, 4.958, 1.778, 0.725, 3.222, 1.065, 3.092, 1.547, 0.644, 4.465, 3.451, 5.724, 49.733, 14.352, 5.315, 3.168, 8.271, 5.971, 0.611, 63.039, 9.778, 3.313, 2.191, 0.49
