Timestamp, COUNTER, INTERPOLATED, AF3, T7, Pz, T8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1629356899.7447, 101, 0, 4248.718, 4347.692, 4093.333, 4163.077, 4231.282, 450, 0, []
1629356899.7525, 102, 0, 4272.308, 4327.179, 4123.59, 4186.667, 4248.205, 450, 0, []
1629356899.7604, 103, 0, 4264.103, 4335.897, 4109.231, 4178.974, 4235.385, 16190, 0, []
1629356899.7681, 104, 0, 4232.308, 4284.615, 4084.103, 4153.846, 4209.744, 450, 0, []
1629356899.776, 105, 0, 4235.897, 4274.359, 4101.026, 4156.41, 4212.821, 450, 0, []
1629356899.7838, 106, 0, 4254.872, 4314.872, 4105.128, 4174.359, 4223.59, 450, 0, []
1629356899.7917, 107, 0, 4245.641, 4308.718, 4111.795, 4172.821, 4222.051, 16190, 0, []
1629356899.7995, 108, 0, 4235.897, 4343.077, 4106.154, 4158.462, 4218.462, 450, 0, []
1629356899.8073, 109, 0, 4243.077, 4395.897, 4101.026, 4160.513, 4216.923, 450, 0, []
1629356899.8151, 110, 0, 4237.949, 4289.231, 4109.231, 4164.103, 4212.308, 450, 0, []
1629356899.823, 111, 0, 4230.769, 4154.872, 4091.795, 4155.897, 4209.231, 16190, 0, []
1629356899.8308, 112, 0, 4246.154, 4231.795, 4104.103, 4171.795, 4221.026, 450, 0, []
1629356899.8387, 113, 0, 4248.205, 4337.949, 4105.128, 4186.667, 4226.154, 450, 0, []
1629356899.8464, 114, 0, 4219.487, 4261.538, 4075.385, 4160.513, 4204.103, 450, 0, []
1629356899.8543, 115, 0, 4214.872, 4181.026, 4088.205, 4150.769, 4194.359, 16190, 0, []
1629356899.8621, 116, 0, 4232.821, 4237.436, 4093.333, 4176.923, 4207.179, 450, 0, []
1629356899.87, 117, 0, 4242.051, 4327.179, 4093.846, 4185.641, 4223.077, 450, 0, []
1629356899.8778, 118, 0, 4244.615, 4350.256, 4095.385, 4177.436, 4226.154, 450, 0, []
1629356899.8857, 119, 0, 4229.231, 4332.308, 4088.718, 4173.846, 4204.615, 16190, 0, []
1629356899.8934, 120, 0, 4216.923, 4299.487, 4092.821, 4174.872, 4190.769, 450, 0, []
1629356899.9012, 121, 0, 4234.872, 4220.513, 4075.897, 4168.718, 4198.462, 450, 0, []
