Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1627643156.1341, 11.444, 3.668, 2.505, 1.322, 1.408, 1.332, 1.958, 1.357, 1.632, 4.452, 2.662, 1.775, 1.78, 1.375, 1.084, 4.062, 3.944, 4.262, 1.961, 1.404, 7.713, 4.313, 3.126, 1.143, 1.261
1627643156.2602, 9.836, 2.806, 2.387, 1.308, 1.382, 1.443, 2.148, 1.537, 1.915, 4.829, 2.612, 1.479, 1.715, 1.365, 1.091, 3.867, 3.7, 3.717, 1.772, 1.345, 7.562, 3.975, 2.653, 1.103, 1.265
1627643156.3863, 7.599, 2.055, 2.091, 1.245, 1.329, 1.465, 2.3, 1.78, 2.272, 5.119, 2.442, 1.199, 1.53, 1.295, 1.074, 3.433, 3.213, 2.902, 1.519, 1.265, 6.953, 3.339, 2.072, 1.022, 1.283
1627643156.5132, 5.422, 1.522, 1.673, 1.151, 1.245, 1.399, 2.431, 2.157, 2.655, 5.239, 2.224, 1.023, 1.274, 1.176, 1.034, 2.937, 2.618, 2.051, 1.257, 1.177, 6.119, 2.616, 1.529, 0.913, 1.291
1627643156.6401, 3.927, 1.171, 1.234, 1.047, 1.133, 1.307, 2.542, 2.662, 2.996, 5.176, 2.055, 1.002, 1.019, 1.032, 0.977, 2.523, 2.094, 1.387, 1.029, 1.087, 5.447, 1.924, 1.121, 0.798, 1.27
1627643156.7671, 5.674, 1.207, 0.88, 0.979, 1.008, 1.235, 2.584, 3.155, 3.204, 4.972, 2.066, 1.122, 0.843, 0.916, 0.918, 2.311, 1.799, 1.028, 0.87, 0.996, 7.763, 1.631, 0.877, 0.731, 1.22
1627643156.8941, 15.745, 1.748, 0.741, 0.988, 0.911, 1.202, 2.534, 3.534, 3.216, 4.7, 2.338, 1.322, 0.809, 0.882, 0.881, 2.28, 1.784, 0.971, 0.799, 0.916, 18.841, 2.094, 0.778, 0.761, 1.163
1627643157.0209, 38.284, 2.775, 0.983, 1.088, 0.889, 1.262, 2.411, 3.779, 3.03, 4.418, 2.934, 1.511, 0.952, 0.94, 0.885, 2.431, 1.971, 1.136, 0.803, 0.866, 43.779, 3.33, 0.801, 0.9, 1.134
1627643157.1478, 73.19, 4.028, 1.721, 1.267, 0.969, 1.477, 2.273, 3.913, 2.715, 4.138, 3.795, 1.614, 1.262, 1.06, 0.928, 2.622, 2.183, 1.4, 0.863, 0.857, 82.395, 4.957, 0.916, 1.112, 1.155
1627643157.2748, 113.716, 5.091, 2.921, 1.478, 1.132, 1.825, 2.216, 3.991, 2.4, 3.835, 4.797, 1.629, 1.685, 1.185, 0.985, 2.863, 2.263, 1.663, 0.957, 0.884, 127.281, 6.405, 1.098, 1.334, 1.218
1627643157.4017, 148.696, 5.6, 4.367, 1.648, 1.316, 2.288, 2.271, 4.043, 2.213, 3.49, 5.691, 1.603, 2.127, 1.257, 1.024, 3.123, 2.161, 1.854, 1.065, 0.924, 165.919, 7.154, 1.34, 1.493, 1.29
1627643157.5287, 166.317, 5.435, 5.7, 1.717, 1.447, 2.763, 2.394, 4.021, 2.201, 3.125, 6.247, 1.585, 2.472, 1.246, 1.018, 3.537, 1.9, 1.947, 1.162, 0.951, 185.513, 6.983, 1.619, 1.542, 1.33
1627643157.6556, 160.716, 4.712, 6.508, 1.667, 1.47, 3.164, 2.498, 3.843, 2.326, 2.823, 6.27, 1.592, 2.604, 1.157, 0.963, 4.148, 1.563, 1.948, 1.235, 0.946, 179.593, 6.007, 1.867, 1.477, 1.319
1627643157.7824, 133.647, 3.765, 6.538, 1.527, 1.383, 3.407, 2.51, 3.486, 2.486, 2.679, 5.754, 1.612, 2.464, 1.033, 0.881, 4.916, 1.241, 1.879, 1.282, 0.917, 150.175, 4.651, 2.015, 1.344, 1.266
1627643157.9094, 94.787, 2.97, 5.813, 1.354, 1.234, 3.411, 2.448, 3.019, 2.584, 2.721, 4.846, 1.632, 2.097, 0.927, 0.806, 5.671, 1.034, 1.769, 1.308, 0.888, 107.761, 3.449, 2.031, 1.206, 1.208
1627643158.0363, 55.971, 2.556, 4.621, 1.194, 1.091, 3.203, 2.41, 2.589, 2.6, 2.888, 3.807, 1.662, 1.619, 0.878, 0.765, 6.172, 1.023, 1.665, 1.33, 0.883, 65.386, 2.743, 1.944, 1.103, 1.177
1627643158.1633, 26.843, 2.592, 3.394, 1.064, 1.003, 2.883, 2.49, 2.379, 2.585, 3.071, 2.885, 1.733, 1.177, 0.901, 0.766, 6.237, 1.243, 1.65, 1.385, 0.908, 33.506, 2.621, 1.84, 1.038, 1.182
1627643158.2902, 10.874, 3.039, 2.476, 0.965, 0.979, 2.779, 2.732, 2.544, 2.64, 3.185, 2.175, 1.881, 0.904, 0.987, 0.796, 5.746, 1.667, 1.867, 1.522, 0.947, 16.317, 2.882, 1.798, 1.004, 1.198
1627643158.4171, 6.61, 3.899, 1.986, 0.918, 0.994, 3.576, 3.068, 3.125, 2.857, 3.205, 1.677, 2.101, 0.87, 1.109, 0.839, 4.856, 2.199, 2.424, 1.786, 0.98, 14.353, 3.568, 1.856, 1.023, 1.192
1627643158.5438, 10.975, 5.294, 1.849, 0.98, 1.02, 5.898, 3.364, 4.014, 3.248, 3.173, 1.369, 2.358, 1.066, 1.248, 0.89, 4.005, 2.706, 3.281, 2.174, 1.003, 28.942, 4.907, 1.982, 1.152, 1.156
1627643158.6705, 22.155, 7.376, 1.919, 1.202, 1.044, 10.547, 3.515, 5.004, 3.771, 3.165, 1.213, 2.597, 1.427, 1.403, 0.964, 3.561, 3.064, 4.245, 2.619, 1.024, 58.494, 7.184, 2.153, 1.434, 1.107
1627643158.7974, 38.994, 9.956, 2.053, 1.564, 1.067, 16.232, 3.497, 5.815, 4.347, 3.241, 1.284, 2.745, 1.846, 1.581, 1.072, 3.883, 3.205, 5.043, 2.992, 1.059, 99.703, 10.296, 2.333, 1.833, 1.076
1627643158.9243, 59.121, 12.484, 2.159, 1.976, 1.093, 22.659, 3.34, 6.192, 4.904, 3.417, 1.552, 2.74, 2.186, 1.782, 1.202, 4.756, 3.12, 5.385, 3.162, 1.108, 142.422, 13.672, 2.522, 2.242, 1.077
1627643159.0512, 79.293, 14.322, 2.227, 2.322, 1.121, 26.756, 3.087, 6.007, 5.37, 3.66, 1.917, 2.561, 2.341, 1.993, 1.327, 5.803, 2.86, 5.12, 3.06, 1.158, 176.218, 16.534, 2.736, 2.536, 1.109
1627643159.1781, 94.712, 15.112, 2.308, 2.515, 1.151, 28.026, 2.814, 5.311, 5.631, 3.911, 2.216, 2.245, 2.286, 2.181, 1.413, 6.461, 2.511, 4.31, 2.708, 1.192, 191.145, 18.331, 3.007, 2.632, 1.159
1627643159.305, 103.899, 14.7, 2.443, 2.518, 1.184, 25.255, 2.584, 4.302, 5.582, 4.125, 2.366, 1.872, 2.058, 2.305, 1.445, 6.361, 2.17, 3.239, 2.223, 1.212, 186.023, 18.777, 3.353, 2.525, 1.228
1627643159.432, 107.705, 13.369, 2.632, 2.366, 1.228, 19.789, 2.426, 3.267, 5.181, 4.287, 2.419, 1.538, 1.733, 2.337, 1.437, 5.57, 1.93, 2.279, 1.76, 1.242, 167.657, 18.007, 3.772, 2.298, 1.324
1627643159.5589, 108.358, 11.676, 2.82, 2.146, 1.288, 13.288, 2.339, 2.519, 4.514, 4.394, 2.537, 1.33, 1.392, 2.274, 1.417, 4.466, 1.852, 1.748, 1.447, 1.312, 145.685, 16.506, 4.232, 2.08, 1.453
1627643159.6859, 107.186, 10.167, 2.966, 1.939, 1.353, 7.789, 2.309, 2.226, 3.754, 4.445, 2.874, 1.331, 1.147, 2.135, 1.405, 3.47, 1.957, 1.748, 1.348, 1.423, 127.204, 14.699, 4.691, 1.975, 1.593
1627643159.8128, 103.728, 9.155, 3.13, 1.79, 1.396, 4.213, 2.333, 2.355, 3.08, 4.427, 3.443, 1.579, 1.12, 1.952, 1.397, 2.876, 2.212, 2.159, 1.434, 1.538, 113.541, 12.868, 5.109, 2.009, 1.699
1627643159.9396, 96.147, 8.742, 3.459, 1.712, 1.381, 2.579, 2.415, 2.693, 2.607, 4.331, 4.04, 2.009, 1.377, 1.758, 1.366, 2.727, 2.528, 2.735, 1.618, 1.597, 101.278, 11.167, 5.462, 2.126, 1.718
1627643160.0666, 83.184, 8.782, 4.038, 1.71, 1.291, 2.087, 2.502, 2.993, 2.36, 4.166, 4.392, 2.488, 1.878, 1.581, 1.292, 2.786, 2.775, 3.216, 1.805, 1.554, 85.89, 9.556, 5.688, 2.243, 1.62
1627643160.1935, 66.704, 9.165, 4.771, 1.772, 1.137, 2.01, 2.546, 3.142, 2.294, 3.946, 4.328, 2.901, 2.482, 1.421, 1.171, 2.761, 2.881, 3.462, 1.913, 1.411, 67.473, 8.194, 5.688, 2.291, 1.42
1627643160.3205, 51.19, 9.813, 5.538, 1.871, 0.958, 1.852, 2.475, 3.118, 2.366, 3.687, 3.823, 3.172, 2.994, 1.275, 1.026, 2.49, 2.817, 3.414, 1.915, 1.216, 51.582, 7.335, 5.516, 2.236, 1.177
1627643160.4474, 42.221, 10.943, 6.195, 1.965, 0.801, 1.55, 2.319, 2.983, 2.556, 3.412, 3.11, 3.271, 3.245, 1.15, 0.893, 2.18, 2.603, 3.1, 1.851, 1.036, 45.426, 7.676, 5.341, 2.085, 0.961
1627643160.5743, 43.914, 12.796, 6.608, 2.001, 0.695, 1.317, 2.106, 2.839, 2.877, 3.129, 2.351, 3.202, 3.154, 1.064, 0.803, 1.847, 2.307, 2.635, 1.792, 0.919, 51.942, 9.665, 5.344, 1.864, 0.816
1627643160.7012, 55.088, 15.109, 6.684, 1.935, 0.639, 1.057, 1.914, 2.812, 3.352, 2.855, 1.717, 2.991, 2.758, 1.031, 0.763, 1.583, 2.003, 2.159, 1.793, 0.868, 69.513, 12.866, 5.561, 1.609, 0.742
1627643160.8279, 69.118, 17.449, 6.383, 1.764, 0.612, 0.958, 1.777, 2.955, 3.922, 2.624, 1.309, 2.671, 2.197, 1.047, 0.756, 1.416, 1.73, 1.779, 1.861, 0.853, 89.347, 16.406, 5.839, 1.36, 0.711
1627643160.9545, 79.181, 19.253, 5.727, 1.525, 0.592, 0.934, 1.716, 3.219, 4.441, 2.485, 1.146, 2.285, 1.633, 1.099, 0.755, 1.324, 1.486, 1.542, 1.951, 0.837, 103.522, 19.139, 5.897, 1.151, 0.692
1627643161.081, 81.825, 20.162, 4.806, 1.281, 0.572, 1.01, 1.716, 3.498, 4.737, 2.473, 1.173, 1.873, 1.188, 1.178, 0.748, 1.28, 1.254, 1.422, 1.99, 0.809, 108.06, 20.331, 5.517, 1.007, 0.675
1627643161.2077, 77.544, 19.895, 3.765, 1.118, 0.559, 1.143, 1.746, 3.654, 4.69, 2.592, 1.323, 1.483, 0.906, 1.298, 0.735, 1.261, 1.041, 1.369, 1.921, 0.787, 104.003, 19.745, 4.713, 0.967, 0.672
1627643161.3343, 69.256, 18.525, 2.737, 1.097, 0.566, 1.293, 1.764, 3.585, 4.322, 2.794, 1.548, 1.158, 0.77, 1.48, 0.725, 1.268, 0.872, 1.332, 1.737, 0.795, 94.583, 17.684, 3.637, 1.047, 0.694
1627643161.4603, 61.297, 16.36, 1.816, 1.222, 0.599, 1.435, 1.747, 3.271, 3.797, 3, 1.836, 0.972, 0.734, 1.717, 0.719, 1.295, 0.767, 1.295, 1.488, 0.837, 84.572, 14.764, 2.527, 1.229, 0.74
1627643161.5863, 55.985, 13.783, 1.101, 1.435, 0.654, 1.534, 1.713, 2.78, 3.332, 3.133, 2.134, 0.982, 0.782, 1.958, 0.708, 1.335, 0.744, 1.281, 1.25, 0.894, 76.051, 11.637, 1.631, 1.454, 0.797
1627643161.7122, 52.71, 11.138, 0.68, 1.635, 0.712, 1.545, 1.668, 2.238, 3.057, 3.157, 2.354, 1.19, 0.881, 2.113, 0.678, 1.367, 0.806, 1.307, 1.064, 0.931, 68.343, 8.795, 1.111, 1.626, 0.843
1627643161.8387, 48.688, 8.662, 0.546, 1.733, 0.752, 1.493, 1.629, 1.831, 2.976, 3.099, 2.427, 1.517, 0.975, 2.098, 0.626, 1.39, 0.935, 1.364, 0.932, 0.922, 58.738, 6.435, 0.941, 1.668, 0.859
1627643161.9651, 41.309, 6.443, 0.598, 1.683, 0.76, 1.366, 1.592, 1.724, 3.016, 3.029, 2.332, 1.844, 1.01, 1.886, 0.555, 1.392, 1.084, 1.414, 0.834, 0.863, 45.354, 4.494, 0.959, 1.562, 0.838
1627643162.0912, 30.398, 4.585, 0.742, 1.504, 0.732, 1.208, 1.534, 1.961, 3.107, 3.017, 2.086, 2.054, 0.978, 1.526, 0.477, 1.385, 1.195, 1.431, 0.757, 0.773, 29.199, 2.901, 1.023, 1.367, 0.787
1627643162.2171, 19.251, 3.273, 0.965, 1.27, 0.677, 1.052, 1.439, 2.473, 3.205, 3.084, 1.765, 2.073, 0.906, 1.122, 0.409, 1.369, 1.233, 1.423, 0.706, 0.682, 14.955, 1.718, 1.109, 1.181, 0.722
1627643162.3432, 11.047, 2.734, 1.251, 1.068, 0.609, 0.909, 1.304, 3.086, 3.287, 3.195, 1.443, 1.891, 0.841, 0.788, 0.363, 1.325, 1.197, 1.412, 0.696, 0.616, 6.113, 1.113, 1.218, 1.088, 0.656
1627643162.4695, 6.157, 2.871, 1.555, 0.946, 0.542, 0.816, 1.164, 3.583, 3.328, 3.28, 1.184, 1.567, 0.817, 0.588, 0.339, 1.259, 1.12, 1.407, 0.722, 0.584, 2.126, 0.98, 1.329, 1.103, 0.6
1627643162.5956, 3.766, 3.403, 1.796, 0.908, 0.484, 0.796, 1.049, 3.774, 3.294, 3.292, 1.013, 1.2, 0.833, 0.521, 0.332, 1.206, 1.04, 1.397, 0.764, 0.577, 1, 1.118, 1.394, 1.187, 0.553
1627643162.7219, 2.716, 4.014, 1.893, 0.928, 0.437, 0.887, 0.963, 3.586, 3.164, 3.243, 0.914, 0.884, 0.867, 0.54, 0.33, 1.209, 0.996, 1.363, 0.795, 0.574, 0.825, 1.381, 1.363, 1.284, 0.509
1627643162.8479, 2.456, 4.432, 1.815, 0.971, 0.4, 1.119, 0.9, 3.072, 2.923, 3.212, 0.831, 0.672, 0.896, 0.585, 0.328, 1.276, 1.005, 1.295, 0.799, 0.561, 0.87, 1.692, 1.233, 1.349, 0.464
1627643162.9737, 2.598, 4.529, 1.581, 1.025, 0.372, 1.472, 0.87, 2.378, 2.572, 3.303, 0.725, 0.575, 0.923, 0.622, 0.328, 1.371, 1.065, 1.223, 0.779, 0.532, 0.999, 2.021, 1.048, 1.384, 0.421
1627643163.0998, 3.843, 4.39, 1.27, 1.094, 0.354, 1.88, 0.906, 1.689, 2.175, 3.566, 0.634, 0.59, 0.971, 0.64, 0.335, 1.466, 1.17, 1.209, 0.752, 0.491, 1.96, 2.414, 0.91, 1.41, 0.385
1627643163.2262, 8.116, 4.424, 0.99, 1.171, 0.351, 2.248, 1.027, 1.161, 1.843, 3.954, 0.658, 0.702, 1.042, 0.641, 0.35, 1.637, 1.329, 1.31, 0.741, 0.451, 5.726, 3.021, 0.92, 1.436, 0.366
