Timestamp, COUNTER, INTERPOLATED, AF3, T7, Pz, T8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1628362750.378, 7, 0, 4210.256, 4110.256, 4133.333, 4187.692, 4052.821, 450, 0, []
1628362750.3859, 8, 0, 4186.667, 4095.385, 4104.615, 4160.513, 4024.615, 450, 0, []
1628362750.3937, 9, 0, 4184.615, 4098.974, 4096.41, 4157.436, 4012.308, 16173, 0, []
1628362750.4016, 10, 0, 4215.385, 4126.667, 4134.359, 4188.205, 4037.436, 450, 0, []
1628362750.4095, 11, 0, 4222.051, 4128.205, 4150.769, 4199.487, 4045.128, 16193, 0, []
1628362750.4173, 12, 0, 4186.667, 4097.949, 4126.154, 4171.795, 4015.385, 450, 0, []
1628362750.4251, 13, 0, 4171.795, 4089.744, 4104.103, 4148.205, 4000.513, 450, 0, []
1628362750.4331, 14, 0, 4201.026, 4106.154, 4102.051, 4159.487, 4022.564, 450, 0, []
1628362750.441, 15, 0, 4231.795, 4110.256, 4123.59, 4182.564, 4052.308, 16193, 0, []
1628362750.449, 16, 0, 4238.462, 4107.692, 4134.872, 4192.308, 4071.795, 0, 0, []
1628362750.4568, 17, 0, 4225.641, 4105.641, 4130.256, 4186.154, 4066.667, 0, 0, []
1628362750.4648, 18, 0, 4205.128, 4096.41, 4127.179, 4170.256, 4043.59, 0, 0, []
1628362750.4727, 19, 0, 4184.615, 4076.923, 4101.538, 4151.795, 4028.718, 0, 0, []
1628362750.4807, 20, 0, 4182.051, 4073.846, 4094.872, 4153.846, 4028.718, 0, 0, []
1628362750.4886, 21, 0, 4186.667, 4086.154, 4103.077, 4162.051, 4024.615, 0, 0, []
1628362750.4965, 22, 0, 4163.077, 4070.256, 4081.538, 4133.333, 3994.872, 0, 0, []
1628362750.5044, 23, 0, 4167.692, 4064.615, 4091.282, 4132.821, 3995.897, 0, 0, []
1628362750.5124, 24, 0, 4228.205, 4112.821, 4143.077, 4199.487, 4051.795, 0, 0, []
1628362750.5203, 25, 0, 4241.026, 4133.333, 4165.641, 4224.103, 4065.128, 0, 0, []
1628362750.5281, 26, 0, 4204.615, 4097.949, 4140.513, 4180.513, 4034.359, 0, 0, []
1628362750.5359, 27, 0, 4206.154, 4090.256, 4138.974, 4168.205, 4037.436, 0, 0, []
1628362750.5437, 28, 0, 4216.41, 4101.026, 4154.872, 4176.41, 4040.513, 0, 0, []
1628362750.5516, 29, 0, 4199.487, 4082.564, 4125.641, 4156.923, 4014.359, 0, 0, []
1628362750.5594, 30, 0, 4189.744, 4068.718, 4111.795, 4147.692, 4008.718, 0, 0, []
1628362750.5673, 31, 0, 4182.564, 4076.41, 4111.282, 4155.385, 4015.897, 0, 0, []
1628362750.575, 32, 0, 4169.231, 4074.872, 4088.718, 4148.205, 4008.718, 0, 0, []
1628362750.5829, 33, 0, 4162.051, 4066.154, 4084.103, 4135.897, 4009.231, 0, 0, []
1628362750.5907, 34, 0, 4159.487, 4067.692, 4092.821, 4135.897, 4020.513, 0, 0, []
1628362750.5986, 35, 0, 4160.513, 4072.821, 4109.744, 4140, 4022.564, 0, 0, []
1628362750.6064, 36, 0, 4171.795, 4087.179, 4117.949, 4142.564, 4023.59, 0, 0, []
1628362750.6144, 37, 0, 4170.769, 4100, 4110.769, 4135.385, 4027.179, 0, 0, []
1628362750.6222, 38, 0, 4154.359, 4088.205, 4111.795, 4126.154, 4021.538, 0, 0, []
1628362750.6302, 39, 0, 4156.41, 4077.949, 4110.256, 4136.41, 4021.026, 0, 0, []
1628362750.6381, 40, 0, 4170.256, 4090.769, 4115.385, 4137.949, 4027.179, 0, 0, []
1628362750.6461, 41, 0, 4171.795, 4102.051, 4117.949, 4122.564, 4034.872, 0, 0, []
1628362750.654, 42, 0, 4174.872, 4102.564, 4117.949, 4133.846, 4049.231, 0, 0, []
1628362750.6619, 43, 0, 4190.256, 4110.256, 4134.872, 4159.487, 4057.436, 0, 0, []
1628362750.6698, 44, 0, 4193.846, 4106.667, 4125.128, 4149.744, 4048.718, 0, 0, []
1628362750.6776, 45, 0, 4173.846, 4089.744, 4106.154, 4123.59, 4035.385, 0, 0, []
1628362750.6855, 46, 0, 4158.974, 4089.231, 4103.59, 4118.974, 4025.128, 0, 0, []
