Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1627802430.4268, 1.651, 1.291, 0.998, 1.224, 0.657, 1.784, 2.06, 1.972, 2.001, 2.157, 0.741, 1.686, 1.689, 0.873, 0.738, 1.708, 1.58, 0.688, 1.174, 0.665, 2.253, 1.055, 1.686, 1.226, 0.715
1627802430.553, 1.344, 1.253, 1.089, 1.171, 0.604, 1.669, 1.97, 2.152, 2.047, 1.908, 0.785, 1.744, 1.757, 0.815, 0.735, 1.777, 1.542, 0.622, 1.026, 0.627, 2.116, 1.007, 1.797, 1.137, 0.688
1627802430.6785, 1.215, 1.203, 1.152, 1.147, 0.569, 1.474, 1.758, 2.504, 1.971, 1.689, 0.85, 1.689, 1.691, 0.75, 0.712, 1.898, 1.512, 0.605, 0.9, 0.602, 2.006, 0.955, 1.849, 1.075, 0.662
1627802430.8045, 1.256, 1.154, 1.209, 1.147, 0.545, 1.203, 1.437, 2.955, 1.813, 1.523, 0.911, 1.53, 1.537, 0.69, 0.671, 2.071, 1.513, 0.677, 0.821, 0.58, 1.906, 0.883, 1.869, 1.043, 0.635
1627802430.9314, 1.377, 1.166, 1.329, 1.159, 0.533, 0.995, 1.09, 3.416, 1.644, 1.431, 0.952, 1.309, 1.381, 0.654, 0.619, 2.228, 1.582, 0.902, 0.802, 0.561, 1.778, 0.84, 1.927, 1.038, 0.61
1627802431.0583, 1.543, 1.312, 1.624, 1.162, 0.528, 0.885, 0.835, 3.814, 1.533, 1.418, 0.972, 1.082, 1.313, 0.646, 0.565, 2.296, 1.78, 1.369, 0.831, 0.546, 1.567, 0.882, 2.115, 1.043, 0.586
1627802431.1853, 2.744, 1.775, 2.199, 1.146, 0.522, 0.984, 0.74, 4.074, 1.515, 1.452, 0.986, 0.91, 1.396, 0.657, 0.515, 2.252, 2.15, 2.138, 0.891, 0.535, 2.783, 1.233, 2.49, 1.041, 0.564
1627802431.3122, 8.646, 3.066, 3.068, 1.137, 0.507, 1.4, 0.801, 4.206, 1.589, 1.485, 1.014, 0.829, 1.609, 0.674, 0.47, 2.184, 2.679, 3.134, 1.003, 0.535, 10.502, 2.463, 3.027, 1.045, 0.546
1627802431.4392, 23.061, 5.617, 4.137, 1.187, 0.484, 2.21, 0.941, 4.301, 1.747, 1.475, 1.044, 0.844, 1.865, 0.695, 0.429, 2.048, 3.273, 4.129, 1.216, 0.556, 29.893, 5.044, 3.625, 1.087, 0.54
1627802431.5658, 46.74, 9.328, 5.205, 1.348, 0.461, 3.413, 1.078, 4.447, 1.965, 1.417, 1.085, 0.938, 2.065, 0.736, 0.395, 1.994, 3.775, 4.849, 1.583, 0.6, 61.418, 8.919, 4.145, 1.209, 0.55
