SESSION_ID,SCENARIO_ID,MODE_ID,SESSION_DATETIME
1,1,2,2021-07-30 09:35:00.000
4,1,2,2021-07-31 10:15:00.000
5,1,2,2021-07-31 18:25:00.000
6,1,2,2021-08-01 09:04:00.000
7,1,2,2021-08-10 19:22:00.000
8,1,2,2021-08-12 21:40:00.000
9,1,2,2021-08-14 18:56:00.000
10,1,2,2021-08-15 18:37:00.000
11,1,2,2021-08-22 18:23:00.000
12,1,2,2021-08-23 19:17:00.000
13,2,2,2021-07-30 12:49:00.000
14,3,2,2021-07-29 12:41:00.000
15,4,2,2021-07-30 09:26:00.000
16,5,2,2021-07-29 14:44:00.000
17,6,2,2021-07-30 09:40:00.000
21,7,2,2021-07-29 16:19:00.000
22,8,2,2021-07-30 07:59:00.000
