SESSION_ID,SCENARIO_ID,MODE_ID,SESSION_DATETIME
1,1,2,2021-07-30 09:35:00.000
4,1,2,2021-07-31 10:15:00.000
5,1,2,2021-07-31 18:25:00.000
6,1,2,2021-08-01 09:04:00.000
7,1,2,2021-08-10 19:22:00.000
8,1,2,2021-08-12 21:40:00.000
9,1,2,2021-08-14 18:56:00.000
10,1,2,2021-08-15 18:37:00.000
11,1,2,2021-08-22 18:23:00.000
12,1,2,2021-08-23 19:17:00.000
13,2,2,2021-07-30 12:49:00.000
14,3,2,2021-07-29 12:41:00.000
15,4,2,2021-07-30 09:26:00.000
16,5,2,2021-07-29 14:44:00.000
17,6,2,2021-07-30 09:40:00.000
21,7,2,2021-07-29 16:19:00.000
22,8,2,2021-07-30 07:59:00.000
26,8,2,2021-08-01 09:20:00.000
27,2,2,2021-07-30 13:36:00.000
28,3,2,2021-07-30 08:02:00.000
29,4,2,2021-07-31 10:18:00.000
30,5,2,2021-07-30 19:22:00.000
31,3,2,2021-08-01 09:16:00.000
32,4,2,2021-07-31 18:32:00.000
33,5,2,2021-07-30 19:41:00.000
34,6,2,2021-08-01 09:45:00.000
35,2,2,2021-08-01 09:42:00.000
36,7,2,2021-07-30 13:05:00.000
37,8,2,2021-08-01 09:26:00.000
38,3,2,2021-08-07 20:48:00.000
39,4,2,2021-08-01 09:02:00.000
40,5,2,2021-08-07 20:33:00.000
41,8,2,2021-08-01 09:32:00.000
42,7,2,2021-07-30 13:20:00.000
43,2,2,2021-08-11 20:23:00.000
44,6,2,2021-08-19 09:45:00.000
45,5,2,2021-08-07 20:37:00.000
46,4,2,2021-08-10 19:25:00.000
47,3,2,2021-08-11 20:33:00.000
48,3,2,2021-08-14 18:33:00.000
49,4,2,2021-08-12 21:32:00.000
50,5,2,2021-08-10 15:13:00.000
51,7,2,2021-07-30 13:32:00.000
52,4,2,2021-08-15 18:34:00.000
53,8,2,2021-08-07 20:53:00.000
54,2,2,2021-08-12 21:43:00.000
55,3,2,2021-08-15 18:20:00.000
56,6,2,2021-08-30 09:55:00.000
57,7,2,2021-07-30 13:44:00.000
58,5,2,2021-08-12 21:28:00.000
59,6,2,2021-07-31 10:30:00.000
60,2,2,2021-08-15 18:48:00.000
63,3,2,2021-08-19 09:31:00.000
64,4,2,2021-08-15 19:01:00.000
65,5,2,2021-08-15 18:24:00.000
66,6,2,2021-08-31 12:14:00.000
68,7,2,2021-08-10 16:06:00.000
69,8,2,2021-08-10 15:01:00.000
70,3,2,2021-08-22 18:10:00.000
71,4,2,2021-08-22 18:20:00.000
73,6,2,2021-08-29 13:30:00.000
74,2,2,2021-08-22 18:34:00.000
75,8,2,2021-08-10 15:06:00.000
76,5,2,2021-08-22 18:06:00.000
78,4,2,2021-08-23 19:25:00.000
79,3,2,2021-08-23 19:11:00.000
80,5,2,2021-08-23 19:00:00.000
81,6,2,2021-08-28 17:23:00.000
82,7,2,2021-08-10 16:17:00.000
83,6,2,2021-08-22 18:31:00.000
84,2,2,2021-08-23 19:38:00.000
85,4,2,2021-08-28 17:03:00.000
86,4,2,2021-08-29 13:52:00.000
87,3,2,2021-08-28 16:52:00.000
88,5,2,2021-08-28 17:19:00.000
89,8,2,2021-08-12 21:56:00.000
90,7,2,2021-08-19 09:04:00.000
91,6,2,2021-08-15 18:45:00.000
92,6,2,2021-08-22 18:52:00.000
93,8,2,2021-08-14 18:36:00.000
94,2,2,2021-08-28 17:34:00.000
95,4,2,2021-08-30 10:08:00.000
96,4,2,2021-08-30 19:11:00.000
97,3,2,2021-08-29 13:26:00.000
103,7,2,2021-08-19 09:11:00.000
104,5,2,2021-08-29 13:16:00.000
111,4,2,2021-09-12 09:16:00.000
159,3,2,2021-08-30 09:51:00.000
160,3,2,2021-08-30 18:53:00.000
161,3,2,2021-08-30 19:33:00.000
162,3,2,2021-08-31 11:47:00.000
163,3,2,2021-09-11 20:32:00.000
164,3,2,2021-09-12 08:48:00.000
165,3,2,2021-09-23 11:44:00.000
166,3,2,2021-09-26 12:21:00.000
167,1,2,2021-08-28 17:06:00.000
168,1,2,2021-08-29 14:00:00.000
169,1,2,2021-08-30 10:16:00.000
170,1,2,2021-09-12 09:00:00.000
172,1,2,2021-08-31 12:11:00.000
173,1,2,2021-09-11 20:54:00.000
174,1,2,2021-09-12 09:26:00.000
175,1,2,2021-09-23 11:48:00.000
176,1,2,2021-09-26 09:29:00.000
177,4,2,2021-08-31 12:04:00.000
178,4,2,2021-09-11 20:46:00.000
179,4,2,2021-09-12 09:03:00.000
180,4,2,2021-09-23 16:46:00.000
181,4,2,2021-09-26 09:27:00.000
182,5,2,2021-08-19 09:34:00.000
183,5,2,2021-09-23 12:00:00.000
184,5,2,2021-09-26 12:33:00.000
185,5,2,2021-08-30 10:19:00.000
186,5,2,2021-08-30 18:56:00.000
187,5,2,2021-08-31 11:57:00.000
188,5,2,2021-09-11 20:42:00.000
189,5,2,2021-09-12 09:11:00.000
190,6,2,2021-08-22 18:55:00.000
191,6,2,2021-08-30 19:22:00.000
192,6,2,2021-08-23 19:28:00.000
193,6,2,2021-07-30 19:32:00.000
194,6,2,2021-08-10 19:37:00.000
195,6,2,2021-07-30 19:38:00.000
196,6,2,2021-08-11 20:50:00.000
197,6,2,2021-09-11 21:01:00.000
198,6,2,2021-08-12 22:01:00.000
201,2,2,2021-08-30 10:05:00.000
202,2,2,2021-08-30 19:19:00.000
203,2,2,2021-08-31 12:23:00.000
204,2,2,2021-09-11 21:07:00.000
205,2,2,2021-09-12 08:52:00.000
206,2,2,2021-09-12 09:24:00.000
209,2,2,2021-09-26 12:24:00.000
210,7,2,2021-08-10 16:01:00.000
211,8,2,2021-08-07 21:46:00.000
212,8,2,2021-08-10 15:26:00.000
215,8,2,2021-08-22 18:42:00.000
219,8,2,2021-08-29 13:49:00.000
220,8,2,2021-08-29 14:03:00.000
221,8,2,2021-08-30 19:29:00.000
222,8,2,2021-08-31 12:00:00.000
223,2,2,2021-08-19 09:49:00.000
224,8,2,2021-08-14 18:46:00.000
225,2,2,2021-08-29 13:39:00.000
226,8,2,2021-08-14 18:51:00.000
227,2,2,2021-09-23 11:56:00.000
228,8,2,2021-08-23 19:14:00.000
229,8,2,2021-08-28 17:15:00.000
230,2,2,2021-09-23 16:43:00.000
231,8,2,2021-08-29 13:43:00.000
