READINGDESC,READINGTIMESTAMP,AF3THETA,AF3ALPHA,AF3BETA_L,AF3BETA_H,AF3GAMMA,T7THETA,T7ALPHA,T7BETA_L,T7BETA_H,T7GAMMA,PzTHETA,PzALPHA,PzBETA_L,PzBETA_H,PzGAMMA,T8THETA,T8ALPHA,T8BETA_L,T8BETA_H,T8GAMMA,AF4THETA,AF4ALPHA,AF4BETA_L,AF4BETA_H,AF4GAMMA
Brainjammer-POW,2022-03-17T14:00:00.0000,15.585,5.892,3.415,1.195,0.836,19978.562,3791.474,1480.405,478.216,118.312,1.025,1.226,0.378,0.62,0.565,2.216,4.057,2.507,2.806,0.836,15.838,4.693,1.744,0.83,0.88
Brainjammer-POW,2022-03-17T14:00:00.0000,75.78,9.287,3.58,1.624,0.7,9853.681,1705.473,668.873,220.121,54.846,0.616,0.833,0.6,0.482,0.439},1.32,1.225,1.768,1.937,0.654,70.22,9.472,3.617,1.256,0.738
Brainjammer-POW,2022-03-17T14:00:00.0000,12.096,3.388,2.314,0.482,0.445,1.191,1.472,1.227,0.772,0.431,3.562,2.355,1.815,0.698,0.506,4.625,2.825,1.932,1.122,0.541,18.26,3.997,2.949,0.623,0.471
Brainjammer-POW,2022-03-17T14:00:00.0000,4.998,2.688,1.716,0.474,0.46,1.006,1.269,1.052,0.653,0.445,2.818,1.91,1.375,0.577,0.515,6.359,2.496,1.989,1.021,0.594,15.051,3.51,2.791,0.602,0.462
Brainjammer-POW,2022-03-17T15:00:00.0000,2.433,2.739,1.423,0.528,0.475,0.743,1.091,0.838,0.579,0.453,2.075,1.443,1.143,0.512,0.535,7.874,2.43,1.897,0.943,0.65,13.751,3.441,2.875,0.617,0.459
Brainjammer-POW,2022-03-17T15:01:15.0000,38.99,4.323,2.755,1,1.497,5.546,2.099,4.138,3.063,4.051,1.113,0.764,0.517,0.456,0.869,3.335,2.24,2.319,1.625,1.743,29.604,4.875,3.572,1.287,1.326
Brainjammer-POW,2022-03-17T15:02:30.0000,49.582,4.993,2.974,1.043,1.555,6.596,2.634,4.479,3.28,3.716,0.768,0.675,0.56,0.424,0.952,3.97,2.34,1.849,1.729,1.836,38.833,5.888,4.432,1.216,1.287
Brainjammer-POW,2022-03-17T15:03:45.0000,54.32,5.423,3.184,1.068,1.574,7.426,3.389,4.816,3.317,3.439,0.506,0.579,0.682,0.387,0.999,4.532,2.439,1.605,1.76,1.92,43.923,6.272,5.167,1.145,1.331
Brainjammer-POW,2022-03-17T16:00:00.0000,52.257,5.489,3.175,1.085,1.547,8.116,4.264,5.079,3.176,3.351,0.345,0.49,0.849,0.355,0.989,4.938,2.42,1.533,1.717,1.958,42.992,5.843,5.492,1.09,1.415
Brainjammer-POW,2022-03-17T16:01:15.0000,43.438,5.229,2.852,1.138,1.472,8.113,5.05,5.19,2.92,3.489,0.299,0.423,1.013,0.336,0.917,5.078,2.218,1.559,1.627,1.915,36.327,4.775,5.264,1.08,1.48
Brainjammer-POW,2022-03-17T16:02:30.0000,31.481,4.917,2.284,1.282,1.353,7.785,5.51,5.039,2.646,3.776,0.599,0.574,1.252,0.383,0.839,4.987,1.859,1.621,1.526,1.776,26.267,3.584,4.562,1.151,1.485
Brainjammer-POW,2022-03-17T16:03:45.0000,20.962,5.17,1.721,1.542,1.199,6.909,5.485,4.564,2.439,4.056,5.691,3.801,3.108,1.222,1.329,4.702,1.438,1.722,1.452,1.567,16.996,3.043,3.667,1.328,1.423
Brainjammer-POW,2022-03-17T17:00:00.0000,16.326,6.642,1.43,1.875,1.03,6.254,4.97,3.828,2.353,4.191,27.919,16.594,9.805,4.538,3.687,4.47,1.077,1.902,1.435,1.342,12.364,3.811,2.941,1.6,1.317
Brainjammer-POW,2022-03-17T17:01:15.0000,8.622,9.539,1.56,2.182,0.879,5.8,4.126,3.06,2.399,4.13,79.262,44.365,23.609,11.784,9.082,4.422,0.867,2.162,1.479,1.157,13.6,6.016,2.649,1.906,1.2
Brainjammer-POW,2022-03-17T17:02:30.0000,5.203,13.375,2.094,2.351,0.779,5.814,3.246,2.497,2.533,3.902,160.766,86.772,43.895,22.896,17.509,4.639,0.84,2.48,1.566,1.042,18.802,9.142,2.842,2.145,1.104
Brainjammer-POW,2022-03-17T17:03:45.0000,31.993,17.047,2.856,2.314,0.74,5.95,2.617,2.228,2.665,3.565,257.396,135.755,66.463,35.756,27.328,5.011,0.963,2.807,1.658,0.984,24.51,12.23,3.366,2.236,1.044
Brainjammer-POW,2022-03-17T18:00:00.0000,35.127,19.342,3.601,2.088,0.751,5.705,2.375,2.205,2.713,3.197,342.283,177.668,84.837,46.768,35.726,5.348,1.15,3.058,1.716,0.948,27.578,14.316,3.955,2.156,1.02
Brainjammer-POW,2022-03-17T18:01:15.0000,33.946,19.37,4.099,1.767,0.781,5.093,2.527,2.3,2.624,2.868,387.134,199.073,93.038,52.33,39.911,5.441,1.322,3.144,1.714,0.899,27.207,14.715,4.356,1.949,1.013
Brainjammer-POW,2022-03-17T18:02:30.0000,28.795,17.069,4.22,1.465,0.807,4.495,3.098,2.459,2.394,2.624,375.947,192.709,88.25,50.504,38.414,5.177,1.429,3.01,1.639,0.831,23.663,13.391,4.403,1.699,1.005
Brainjammer-POW,2022-03-17T18:03:45.0000,21.177,13.233,3.947,1.253,0.811,6.337,4.643,2.813,2.119,2.494,312.729,160.99,72.241,41.99,31.797,4.658,1.432,2.688,1.511,0.752,17.978,10.87,4.068,1.479,0.979
