Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1632651706.0779, 27.696, 11.141, 4.19, 1.634, 1.144, 12267.585, 2417.898, 1495.558, 296.86, 195.642, 6.678, 6.149, 5.209, 6.528, 8.699, 2.807, 3.374, 3.84, 1.292, 0.971, 31.385, 12.337, 5.425, 1.742, 1.017
1632651706.2048, 39.347, 14.247, 4.905, 1.59, 1.194, 11925.788, 2546.093, 1458.125, 306.845, 192.132, 6.724, 8.551, 7.188, 9.041, 11.75, 4.484, 4.04, 5.165, 1.349, 0.978, 42.222, 15.981, 7.058, 1.752, 1.021
1632651706.3318, 49.7, 16.506, 5.491, 1.684, 1.197, 10248.7, 2366.638, 1246.705, 279.583, 164.436, 6.488, 10.416, 8.75, 10.854, 13.721, 6.383, 4.702, 6.55, 1.458, 0.983, 51.35, 18.328, 8.227, 1.798, 1.011
1632651706.4587, 56.072, 17.255, 5.777, 1.945, 1.16, 7720.537, 1925.292, 926.933, 223.004, 121.649, 6.204, 11.075, 9.317, 11.314, 13.916, 8.093, 5.18, 7.593, 1.601, 0.988, 56.297, 18.564, 8.554, 1.888, 1
1632651706.5857, 56.367, 16.303, 5.674, 2.335, 1.112, 5042.862, 1345.667, 589.113, 153.333, 76.557, 5.69, 10.308, 8.661, 10.242, 12.253, 9.06, 5.344, 7.96, 1.737, 1.005, 55.742, 16.625, 7.977, 2.025, 1.01
1632651706.7125, 51.232, 14.001, 5.185, 2.743, 1.08, 2755.194, 772.446, 308.944, 88.664, 40.159, 5.135, 8.427, 7.019, 8.033, 9.302, 9.126, 5.127, 7.536, 1.821, 1.045, 50.418, 13.21, 6.749, 2.189, 1.05
1632651706.8394, 43.487, 11.077, 4.404, 3.025, 1.073, 1248.055, 350.571, 128.216, 43.346, 17.846, 4.511, 6.083, 4.969, 5.451, 6.021, 8.48, 4.537, 6.457, 1.816, 1.101, 42.826, 9.46, 5.299, 2.322, 1.109
1632651706.9664, 36.163, 8.227, 3.474, 3.087, 1.078, 687.91, 158.548, 65.491, 29.895, 10.148, 3.909, 3.954, 3.112, 3.261, 3.306, 7.405, 3.692, 5.058, 1.736, 1.156, 35.44, 6.38, 4.05, 2.388, 1.161
1632651707.0933, 31.93, 5.853, 2.553, 2.959, 1.082, 890.413, 187.408, 145.938, 63.541, 17.359, 3.377, 2.452, 1.835, 1.893, 1.63, 6.348, 2.816, 3.721, 1.661, 1.186, 30.629, 4.392, 3.251, 2.401, 1.178
1632651707.2202, 31.477, 4.071, 1.774, 2.766, 1.083, 1570.476, 404.305, 398.413, 160.231, 41.793, 3.019, 1.648, 1.196, 1.315, 0.935, 5.587, 2.148, 2.707, 1.678, 1.18, 29.056, 3.349, 2.873, 2.404, 1.145
1632651707.3472, 33.538, 2.893, 1.197, 2.637, 1.095, 2424.491, 833.285, 820.048, 329.91, 84.92, 2.8, 1.356, 0.994, 1.176, 0.816, 5.111, 1.824, 2.1, 1.825, 1.146, 29.724, 2.84, 2.726, 2.427, 1.06
1632651707.4733, 36.352, 2.267, 0.858, 2.64, 1.13, 3483.085, 1526.924, 1368.669, 560.02, 142.302, 2.716, 1.316, 1.039, 1.116, 0.867, 4.887, 1.832, 1.86, 2.061, 1.103, 31.045, 2.613, 2.623, 2.471, 0.943
1632651707.5985, 41.416, 2.115, 0.843, 2.762, 1.186, 4688.356, 2426.048, 1924.396, 804.506, 201.332, 4.319, 1.559, 1.374, 1.007, 0.913, 8.104, 2.43, 1.935, 2.327, 1.073, 35.332, 2.993, 2.504, 2.518, 0.822
1632651707.7238, 56.047, 2.885, 1.346, 2.971, 1.241, 5830.177, 3327.705, 2329.395, 996.43, 244.872, 13.159, 2.508, 2.13, 0.886, 0.922, 25.66, 4.432, 2.4, 2.61, 1.067, 51.613, 4.948, 2.453, 2.58, 0.722
1632651707.8491, 91.971, 4.71, 2.75, 3.335, 1.281, 6635.353, 3970.206, 2459.229, 1076.204, 258.583, 36.9, 4.37, 3.47, 0.86, 0.883, 71.438, 8.41, 3.704, 3.049, 1.085, 92.016, 8.688, 2.826, 2.826, 0.666
1632651707.9743, 164.471, 9.6, 6.302, 4.225, 1.346, 6827.078, 4134.857, 2275.605, 1017.883, 237.647, 82.273, 8.217, 6.013, 1.19, 0.821, 157.215, 16.343, 7.665, 4.114, 1.15, 170.829, 15.926, 5.156, 3.801, 0.717
1632651708.0996, 294.395, 21.281, 13.686, 6.192, 1.522, 6347.67, 3755.857, 1842.206, 841.166, 189.157, 153.764, 16.033, 10.575, 2.235, 0.786, 289.392, 31.871, 16.965, 6.484, 1.318, 306.294, 30.16, 11.8, 6.278, 0.975
1632651708.2248, 495.444, 42.764, 25.524, 9.517, 1.872, 5324.568, 2954.29, 1297.545, 602.498, 128.674, 251.298, 29.289, 17.3, 4.205, 0.827, 470.447, 57.849, 32.975, 10.521, 1.632, 511.95, 54.06, 24.002, 10.671, 1.502
1632651708.35, 730.318, 74.181, 39.948, 13.87, 2.389, 4069.649, 2006.444, 799.993, 370.399, 73.199, 354.701, 47.741, 25.05, 6.93, 0.975, 663.686, 94.069, 53.487, 15.891, 2.09, 748.619, 87.197, 40.097, 16.569, 2.267
1632651708.4758, 955.878, 111.13, 53.456, 18.248, 2.965, 3070.13, 1185.146, 456.376, 197.556, 34.291, 443.245, 68.643, 31.931, 9.816, 1.232, 831.879, 135.34, 73.505, 21.465, 2.634, 973.382, 124.594, 56.119, 22.633, 3.148
1632651708.6011, 1126.944, 145.178, 62.329, 21.365, 3.438, 2743.804, 694.832, 293.916, 106.389, 14.816, 500.676, 87.344, 36.13, 12.064, 1.559, 947.421, 172.407, 87.173, 25.692, 3.157, 1141.65, 157.579, 67.426, 27.101, 3.946
1632651708.7269, 1200.864, 167.407, 64.457, 22.167, 3.665, 3521.356, 637.294, 289.374, 94.695, 11.008, 515.542, 99.092, 36.709, 12.959, 1.886, 985.709, 195.88, 90.609, 27.204, 3.545, 1210.902, 177.604, 70.943, 28.482, 4.471
1632651708.8527, 1178.455, 172.556, 60.193, 20.43, 3.579, 5091.833, 957.588, 412.463, 145.238, 17.409, 492.622, 100.974, 33.995, 12.29, 2.124, 954.817, 200.017, 83.518, 25.598, 3.71, 1184.361, 179.705, 66.348, 26.398, 4.609
1632651708.9786, 1062.395, 160.982, 51.818, 16.863, 3.223, 7016.509, 1520.1, 640.814, 237.739, 31.387, 438.599, 93.205, 29.278, 10.46, 2.204, 859.697, 185.095, 69.02, 21.646, 3.621, 1062.618, 164.437, 56.013, 21.777, 4.365
1632651709.104, 895.937, 138.387, 42.481, 12.706, 2.715, 9072.644, 2194.29, 936.218, 352.462, 51.701, 370.27, 78.982, 24.17, 8.246, 2.1, 732.073, 157.357, 52.252, 16.831, 3.308, 890.271, 137.779, 43.915, 16.315, 3.856
1632651709.2297, 704.169, 112.566, 34.693, 9.127, 2.19, 10760.851, 2815.281, 1234.049, 462.184, 75.623, 295.302, 62.802, 19.889, 6.398, 1.836, 584.647, 125.676, 37.995, 12.618, 2.841, 692.486, 108.014, 33.637, 11.655, 3.251
1632651709.3558, 518.255, 89.86, 29.423, 6.743, 1.74, 11734.504, 3220.965, 1459.501, 537.058, 97.79, 222.875, 48.395, 16.796, 5.299, 1.48, 437.545, 97.64, 28.628, 9.791, 2.308, 501.753, 82.126, 26.983, 8.667, 2.697
1632651709.4818, 354.732, 72.595, 25.789, 5.524, 1.396, 11718.944, 3291.509, 1544.304, 553.791, 111.809, 157.24, 37.405, 14.422, 4.872, 1.122, 303.542, 76.889, 23.548, 8.287, 1.79, 336.505, 62.995, 23.245, 7.28, 2.264
1632651709.6074, 227.298, 58.984, 22.291, 5, 1.152, 10739.737, 3002.879, 1456.576, 506.106, 113, 104.761, 29.136, 12.067, 4.712, 0.841, 197.633, 62.037, 20.508, 7.444, 1.354, 210.305, 49.16, 20.442, 6.788, 1.946
1632651709.7333, 134.968, 46.106, 17.937, 4.684, 1.009, 8964.62, 2434.885, 1216.908, 407.638, 100.649, 65.023, 22.073, 9.38, 4.392, 0.682, 120.218, 49.428, 17.339, 6.553, 1.044, 121.325, 37.394, 16.934, 6.461, 1.701
1632651709.859, 73.422, 33.018, 13, 4.413, 0.986, 6741.246, 1737.372, 891.218, 286.572, 78.412, 37.561, 15.582, 6.651, 3.793, 0.643, 68.338, 37.114, 13.508, 5.391, 0.874, 63.324, 26.246, 12.569, 6.035, 1.503
1632651709.985, 40.492, 21.558, 8.433, 4.226, 1.076, 4480.907, 1074.887, 562.625, 173.055, 52.681, 21.081, 10.241, 4.328, 3.051, 0.674, 38.444, 26.186, 9.768, 4.161, 0.818, 33.37, 16.918, 8.181, 5.57, 1.338
1632651710.1112, 22.522, 12.924, 5.18, 4.136, 1.227, 2529.99, 562.045, 297.006, 87.599, 29.849, 11.366, 6.309, 2.732, 2.379, 0.71, 21.147, 17.401, 7.206, 3.197, 0.826, 17.295, 10.071, 4.867, 5.163, 1.196
1632651710.2373, 13.083, 7.454, 3.648, 4.094, 1.373, 1124.86, 235.515, 124.161, 35.501, 13.93, 5.959, 3.8, 1.942, 1.923, 0.711, 11.276, 11.015, 6.479, 2.715, 0.86, 8.954, 5.749, 3.253, 4.853, 1.088
1632651710.3633, 9.301, 4.845, 3.607, 3.999, 1.454, 336.057, 69.468, 37.564, 10.411, 5.557, 3.305, 2.514, 1.796, 1.704, 0.669, 6.345, 6.825, 7.423, 2.682, 0.897, 6.037, 3.594, 3.254, 4.575, 1.019
1632651710.4892, 8.154, 4.115, 4.323, 3.762, 1.43, 80.255, 26.45, 18.713, 7.237, 2.876, 2.274, 2.062, 1.982, 1.631, 0.596, 4.763, 4.304, 9.187, 2.839, 0.922, 5.864, 2.802, 4.17, 4.226, 0.973
